# Kalmasoft Databases
# Database of Muslim Names
# References: www.kalmasoft.com/KLEX/dbmuslm.htm, www.kalmasoft.com/KLEX/dbvarom.htm
# Created: 20 Apr 2019
# Updated: 13 Jun 2026
# Version: 1.0
# Encoding: UTF8
# Delimiter: TAB
# Total entries: 3,000,000+
# Countries covered: 40
# Copyright 1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
#=========================================
# Attributes:
#	ID: Reference number
#	Roman: Roman transcription
#	Gender: M: male
#		F: female
#		U: unisex
#	Type: type of name
#		F: first/given name
#		L: last/surname, last name
#		A: last name, Aptonym, Professional Nisba i.e. occupation or profession related
#		C: last name, Tribal Nisba i.e. clan related
#		D: last name, Geographic Nisba i.e. place related
#		M: middle name
#		P: last name, Patronym, Nasab i.e. true or legendary lineage
#		T: last name, Teknonym, Kunya i.e. paternal or maternal related
#	Origin: Spelling inferred potential ethnic origin
#		NAR: Native Arabic
#		QAS: Quasi-Arabic
#		ASN: Asian
#		AFR: African
#		AMZ: Amazigh
#		PER: Persian
#		TUR: Turkish
#	Locale: prevalent spelling geographies, ISO3166 Alpha3 three-Letter country code
#	Reference: reference to the original name in native script
#=========================================
# A. General notes:
# (1) This database is compiled from Arabic names prospective since Muslim names are closely related to Arabic names.
# (2) The vocalized form is the most correct prununciation according to the corresponding region where used.
# (3) Names in Perso-Arabic script (Afghanistan, Iran, Pakistan, and Tajikstan) have no vocalized version since short vaowels are rarely used in writing.
# (4) Surnames are detailed further to P, B, C, K, and N, all may be considered surnames.
# (5) True orthographic variants (mainly space added) were kept to minimum.
#=========================================
# B. Notes on Arabic name types:
# (1) Non-Arabic Nisba component does not affect Arab name (eg. Ait Mehdi) is Arabic.
# (2) Non-Arabic Nasab component does not affect Arab name (eg. Qasbaji, Fikriyan) are Arabic.
# (3) Multi-origin names should take the classification of the longest componen (eg. Basmajiyan) has 3 different origin components but is Arabic.
# (7) Quasi-Arab are those orignialy Arabic mixed with non-Arabic content (eg. Ait Hasan).
# (8) Old non-Arab biblical names (eg. Ibrahim, Yusif) considered Arabic.
#=======================Sample==========================
ID	Roman	Gender	Type	Transcript	Origin	Locale	Reference
M000058	Sharidah	M	F	EN	NAR		شريدة
M000059	Sharidym	M	F	EN			شارديم
M000060	Aabira	F	F	EN	ASN	PAK	ذابرہ
M000061	Aaiqa	F	F	EN	ASN	PAK	عائقہ
M000062	Aameen	M	F	EN	ASN	PAK	آمین
M000063	Aaniba	F	F	EN	ASN	PAK	ذانبہ
M000064	Aapa	F	F	EN	ASN	PAK	آپا
M000065	Aas	M	F	EN	ASN	PAK	عاص
M000066	Aatazaz	M	F	EN	ASN	PAK	اعتزاز
M000067	Abasi	M	F	EN	ASN	PAK	عباسی
M000068	Abbas	M	F	EN	ASN	PAK	عباس
M000069	Abdaal	M	F	EN	ASN	PAK	ابدال
M000070	Abeera	F	F	EN	ASN	PAK	عبیرہ
M000071	Abis	M	F	EN	ASN	PAK	عابس
M000072	Abu Turab	M	F	EN	ASN	PAK	بوتراب
M000073	Adal	M	F	EN	ASN	PAK	عدل
M000074	Adeel	M	F	EN	ASN	PAK	عدیل
M000075	Adeela	F	F	EN	ASN	PAK	عدیلہ
M000076	Adem	M	F	EN	ASN	PAK	آدم
M000077	Adila	F	F	EN	ASN	PAK	عادلہ
M000078	Adnan	M	F	EN	ASN	PAK	عدنان
M000079	Adrish	M	F	EN	ASN	PAK	آدرش
M000080	Aee	M	F	EN	ASN	PAK	ذی
M000081	Afaf	F	F	EN	ASN	PAK	عفاف
M000082	Afana	F	F	EN	ASN	PAK	عفانہ
M000083	Afandi	M	F	EN	ASN	PAK	آفندی
M000084	Afaq	M	F	EN	ASN	PAK	آفاق
M000085	Afera	F	F	EN	ASN	PAK	عافرہ
M000086	Affat	F	F	EN	ASN	PAK	عفت
M000087	Afgan	M	F	EN	ASN	PAK	افگن
M000088	Afiya	F	F	EN	ASN	PAK	عافیہ
M000089	Afrasiab	M	F	EN	ASN	PAK	افراسیاب
M000090	Afreed	M	F	EN	ASN	PAK	آفرید
M000091	Afsar	M	F	EN	ASN	PAK	افسر
M000092	Afshaan	F	F	EN	ASN	PAK	افشاں
M000093	Aftab	M	F	EN	ASN	PAK	آفتاب
M000094	Afzaal	M	F	EN	ASN	PAK	افضال
M000095	Agha	M	F	EN	ASN	PAK	آغا
M000096	Ahsen	M	F	EN	ASN	PAK	احسن
M000097	Ahtisham	M	F	EN	ASN	PAK	احتشام
M000098	Aibak	M	F	EN	ASN	PAK	ایبک
M000099	Aieas	M	F	EN	ASN	PAK	عیاث
M000100	Aiel	M	F	EN	ASN	PAK	عائل
M000101	Aiela	F	F	EN	ASN	PAK	عائلہ
M000102	Ain	M	F	EN	ASN	PAK	عین
M000103	Ajila	F	F	EN	ASN	PAK	عاجلہ
M000104	Aamadu	M	F	FR	AFR	SEN	أحمد
M000105	Baabakar	M	F	FR	AFR	SEN	بابكر
M000106	Muhammet	M	F	FR	AFR	SEN	محمد
M000107	Taalibe	M	F	FR	AFR	SEN	طالب
M000108	Xadiim	M	F	FR	AFR	SEN	خادم
M000109	Ammaan	F	F	EN	AFR	SOM	آمان
M000110	Amuun	F	F	EN	AFR	SOM	
M000111	Ardo	F	F	EN	AFR	SOM	
M000112	Arliyo	F	F	EN	AFR	SOM	
M000113	Armaan	M	F	EN	AFR	SOM	عرمان
M000114	Arraweello	F	F	EN	AFR	SOM	
M000115	Ashkiro	F	F	EN	AFR	SOM	
M000116	Askaro	F	F	EN	AFR	SOM	
M000117	Aways	M	F	EN	AFR	SOM	أويس
M000118	Awraadeen	M	F	EN	AFR	SOM	
M000119	Axado	F	F	EN	AFR	SOM	
M000120	Afareen	F	F	EN	PER	TJK	أفارين
M000121	Afsoon	F	F	EN	PER	TJK	أفسون
M000122	Anahita	F	F	EN	PER	TJK	أناهيتا
M000123	Anoosheh	F	F	EN	PER	TJK	أنوشيه
M000124	Ara	F	F	EN	PER	TJK	أرا
M000125	Ardavan	M	F	EN	PER	TJK	أردافان
M000126	Ardshir	M	F	EN	PER	TJK	أردشير
M000127	Arezo	F	F	EN	PER	TJK	أريزو
M000128	Arghavan	F	F	EN	PER	TJK	أرغافان
M000129	Armaghan	F	F	EN	PER	TJK	أرماغان
M000130	Abamislim	M	F	EN	TUR	TUR	أبامسلم
M000131	Abamuslim	M	F	EN	TUR	TUR	أبامسلم
M000132	Abamuslum	M	F	EN	TUR	TUR	أبامسلم
M000133	Abbey	M	L	EN	TUR	TUR	أبي
M000134	Abbidin	M	F	EN	TUR	TUR	عابدين
M000135	Abbis	M	F	EN	TUR	TUR	عابس
M000136	Abbos	M	L	EN	TUR	TUR	عبوس
M000137	Abboushi	M	L	EN	TUR	TUR	أبوشي
M000138	Abbubekir	M	F	EN	TUR	TUR	أبوبكر
M000139	Abassy	M	F	EN	AFR	TZA	عباس
M000140	Abbasi	M	L	EN	AFR	TZA	عباس
M000141	Abbasy	M	F	EN	AFR	TZA	عباس
M000142	Abdalah	M	C	EN	AFR	TZA	عبدالله
M000143	Abdalahamani	M	F	EN	AFR	TZA	عبدالرحمن
M000144	Abdalalah	M	F	EN	AFR	TZA	عبدالله
M000145	Abderehemani	M	F	EN	AFR	TZA	عبدالرحمن
M000146	Abdulrahaman	M	F	EN	AFR	TZA	عبدالرحمن
M000147	Abdulrahmah	M	F	EN	AFR	TZA	عبدالرحمن
M000148	Abdulrahman	M	F	EN	AFR	TZA	عبدالرحمن
M000149	Abdulrahmani	M	F	EN	AFR	TZA	عبدالرحمن
M000150	Abdulrazack	M	F	EN	AFR	TZA	عبدالرزاق
M000151	Abdulshakur	M	F	EN	AFR	TZA	عبدالشكور
M000152	Aabdilahi	M	F	NL	AFR	ZAF	عبدالله
M000153	Aabeda	F	F	NL	AFR	ZAF	عابدة
M000154	Aabidah	F	F	NL	AFR	ZAF	عابدة
M000155	Aadarsh	M	F	NL	AFR	ZAF	آدارش
M000156	Aadhiya	F	F	NL	AFR	ZAF	آدهيا
M000157	Aadhya	F	F	NL	AFR	ZAF	آدهيا
M000158	Aadilah	F	F	NL	AFR	ZAF	عادلة
M000159	Aaeesha	F	F	NL	AFR	ZAF	عائشة
M000160	Aa'eesha	F	F	NL	AFR	ZAF	عائشة
M000161	Aaesha	F	F	NL	AFR	ZAF	عائشة
M000162	Aafia	F	F	NL	AFR	ZAF	عافية
M000163	Aafiah	F	F	NL	AFR	ZAF	عافية
M000164	Aafiya	F	F	NL	AFR	ZAF	عافية
M000165	Aafiyah	F	F	NL	AFR	ZAF	عافية
M000166	Aaisha	F	F	NL	AFR	ZAF	عائشة
M000167	Aa'isha	F	F	NL	AFR	ZAF	عائشة
M000168	Aaishah	F	F	NL	AFR	ZAF	عائشة
M000169	Abas	M	F	EN	NAR	TUR	عباس
M000170	Abdi	M	F	EN	NAR	TUR	عبدي
M000171	Abdulkadir	M	F	EN	TUR	TUR	عبد القادر
M000172	Abdulmuîn	M	F	EN	TUR	TUR	عبدالمنعم
M000173	Abdülhamîd	M	F	EN	TUR	TUR	عبد الحميد
M000174	Abdülmecîd	M	F	EN	TUR	TUR	عبد المجيد
M000175	Abidin	M	F	EN	TUR	TUR	عابدين
M000176	Adalet	F	F	EN	TUR	TUR	عدالة
M000177	Adem	M	F	EN	TUR	TUR	آدم
M000178	Adil	M	F	EN	TUR	TUR	عادل
M000179	Adile	M	F	EN	TUR	TUR	عادلة
M000180	Adnan	M	F	EN	TUR	TUR	عدنان
M000181	Agah	M	F	EN	TUR	TUR	
M000182	Agca	M	F	EN	TUR	TUR	
M000183	Ahmad	M	F	EN	TUR	TUR	أحمد
M000184	Ahmed	M	F	EN	TUR	TUR	أحمد
M000185	Ahmet	M	F	EN	TUR	TUR	أحمد
M000186	Ahsen	M	F	EN	TUR	TUR	أحسن
M000187	Ajda	M	F	EN	TUR	TUR	
M000188	Akalay	M	F	EN	TUR	TUR	
M000189	Akar	M	F	EN	TUR	TUR	
M000190	Akara	M	F	EN	TUR	TUR	
M000191	Akdes	M	F	EN	TUR	TUR	
M000192	Akhun	M	F	EN	TUR	TUR	
M000193	Aksel	M	F	EN	TUR	TUR	
M000194	Aksoy	M	F	EN	TUR	TUR	
M000195	Akçay	M	F	EN	TUR	TUR	
M000196	Alaattin	M	F	EN	TUR	TUR	علاء الدين
M000197	Alara	M	F	EN	TUR	TUR	
M000198	Alaydin	M	F	EN	TUR	TUR	علاء الدين
M000199	Alev	M	F	EN	TUR	TUR	علي
M000200	Alican	M	F	EN	TUR	TUR	
M000201	Alim	M	F	EN	TUR	TUR	عليم
M000202	Aliye	F	F	EN	TUR	TUR	علياء
M000203	Altay	M	F	EN	TUR	TUR	
M000204	Alâeddin	M	F	EN	TUR	TUR	علاء الدين
M000205	Anka	M	F	EN	TUR	TUR	
M000206	Aral	M	F	EN	TUR	TUR	
M000207	Aras	M	F	EN	TUR	TUR	
M000208	Argün	M	F	EN	TUR	TUR	
M000209	Aricanli	M	F	EN	TUR	TUR	
M000210	Arif	M	F	EN	TUR	TUR	عارف
M000211	Arikan	M	F	EN	TUR	TUR	
M000212	Arslan	M	F	EN	TUR	TUR	
M000213	Artaç	M	F	EN	TUR	TUR	
M000214	Arzu	M	F	EN	TUR	TUR	
M000215	Asil	M	F	EN	TUR	TUR	
M000216	Asiye	F	F	EN	TUR	TUR	آسيا
M000217	Aslan	M	F	EN	TUR	TUR	أصلان
M000218	Asuman	M	F	EN	TUR	TUR	عثمان
M000219	Asya	F	F	EN	TUR	TUR	أسيا
M000220	Ata	F	F	EN	TUR	TUR	
M000221	Atagün	M	F	EN	TUR	TUR	
M000222	Atakan	M	F	EN	TUR	TUR	
M000223	Atan	M	F	EN	TUR	TUR	
M000224	Atanur	M	F	EN	TUR	TUR	
M000225	Atay	M	F	EN	TUR	TUR	
M000226	Atek	M	F	EN	TUR	TUR	
M000227	Atila	F	F	EN	TUR	TUR	
M000228	Atilla	F	F	EN	TUR	TUR	
M000229	Avni	M	F	EN	TUR	TUR	
M000230	Aybar	M	F	EN	TUR	TUR	
M000231	Aybars	M	F	EN	TUR	TUR	
M000232	Ayberk	M	F	EN	TUR	TUR	
M000233	Aybüke	M	F	EN	TUR	TUR	
M000234	Aycan	M	F	EN	TUR	TUR	
M000235	Aydan	M	F	EN	TUR	TUR	
M000236	Aydin	M	F	EN	TUR	TUR	
M000237	Ayfer	M	F	EN	TUR	TUR	
M000238	Aygen	M	F	EN	TUR	TUR	
M000239	Aygun	M	F	EN	TUR	TUR	
M000240	Aygül	M	F	EN	TUR	TUR	
M000241	Ayhun	M	F	EN	TUR	TUR	
M000242	Aykan	M	F	EN	TUR	TUR	
M000243	Ayla	F	F	EN	TUR	TUR	
M000244	Aylin	M	F	EN	TUR	TUR	
M000245	Ayse	F	F	EN	TUR	TUR	عائشة
M000246	Aysel	M	F	EN	TUR	TUR	
M000247	Aysu	M	F	EN	TUR	TUR	
M000248	Aysun	M	F	EN	TUR	TUR	
M000249	Aytaç	M	F	EN	TUR	TUR	
M000250	Aytekin	M	F	EN	TUR	TUR	
M000251	Ayten	M	F	EN	TUR	TUR	
M000252	Ayça	F	F	EN	TUR	TUR	عائشة
M000253	Ayçin	M	F	EN	TUR	TUR	
M000254	Azad	M	F	EN	TUR	TUR	أزاد
M000255	Azime	F	F	EN	TUR	TUR	عظيمة
M000256	Aziz	M	F	EN	TUR	TUR	عزيز
M000257	Azize	F	F	EN	TUR	TUR	عزيزة
M000258	Azmi	M	F	EN	TUR	TUR	عزمي
M000259	Açelya	F	F	EN	TUR	TUR	
M000260	Babür	M	F	EN	TUR	TUR	
M000261	Baha	F	F	EN	TUR	TUR	
M000262	Bahar	M	F	EN	TUR	TUR	
M000263	Bahri	M	F	EN	TUR	TUR	باهر
M000264	Bahriye	F	F	EN	TUR	TUR	بهرية
M000265	Bahtiyar	M	F	EN	TUR	TUR	
M000266	Bahçeli	M	F	EN	TUR	TUR	
M000267	Baki	M	F	EN	TUR	TUR	
M000268	Bala	F	F	EN	TUR	TUR	
M000269	Balaban	M	F	EN	TUR	TUR	
M000270	Baler	M	F	EN	TUR	TUR	
M000271	Balîm	M	F	EN	TUR	TUR	
M000272	Banu	M	F	EN	TUR	TUR	
M000273	Barak	M	F	EN	TUR	TUR	
M000274	Baris	M	F	EN	TUR	TUR	
M000275	Basar	M	F	EN	TUR	TUR	
M000276	Basgil	M	F	EN	TUR	TUR	
M000277	Basir	M	F	EN	TUR	TUR	بصير
M000278	Basri	M	F	EN	TUR	TUR	بصري
M000279	Battal	M	F	EN	TUR	TUR	
M000280	Batu	M	F	EN	TUR	TUR	
M000281	Batuhan	M	F	EN	TUR	TUR	
M000282	Batur	M	F	EN	TUR	TUR	
M000283	Bayar	M	F	EN	TUR	TUR	
M000284	Baybars	M	F	EN	TUR	TUR	
M000285	Baykurt	M	F	EN	TUR	TUR	
M000286	Bayram	M	F	EN	TUR	TUR	
M000287	Bedia	F	F	EN	TUR	TUR	
M000288	Bedirhan	M	F	EN	TUR	TUR	
M000289	Bedreddin	M	F	EN	TUR	TUR	بدر الدين
M000290	Bedreddîn	M	F	EN	TUR	TUR	بدر الدين
M000291	Bedrettin	M	F	EN	TUR	TUR	بدر الدين
M000292	Bedri	M	F	EN	TUR	TUR	بدري
M000293	Bedriye	F	F	EN	TUR	TUR	بدرية
M000294	Begüm	M	F	EN	TUR	TUR	
M000295	Behice	F	F	EN	TUR	TUR	بهيجة
M000296	Behiye	F	F	EN	TUR	TUR	بهية
M000297	Behiç	M	F	EN	TUR	TUR	
M000298	Behlül	M	F	EN	TUR	TUR	بهلول
M000299	Behçet	M	F	EN	TUR	TUR	بهجت
M000300	Bekir	M	F	EN	TUR	TUR	بكير
M000301	Bekri	M	F	EN	TUR	TUR	بكري
M000302	Bektas	M	F	EN	TUR	TUR	
M000303	Belciler	M	F	EN	TUR	TUR	
M000304	Bele	M	F	EN	TUR	TUR	
M000305	Belgin	M	F	EN	TUR	TUR	
M000306	Beli	M	F	EN	TUR	TUR	
M000307	Belig	M	F	EN	TUR	TUR	
M000308	Belma	F	F	EN	TUR	TUR	
M000309	Benan	M	F	EN	TUR	TUR	
M000310	Bengi	M	F	EN	TUR	TUR	
M000311	Bengisu	M	F	EN	TUR	TUR	
M000312	Bengül	M	F	EN	TUR	TUR	
M000313	Bensu	M	F	EN	TUR	TUR	
M000314	Berfu	M	F	EN	TUR	TUR	
M000315	Beria	F	F	EN	TUR	TUR	
M000316	Beril	M	F	EN	TUR	TUR	
M000317	Berk	M	F	EN	TUR	TUR	
M000318	Berkant	M	F	EN	TUR	TUR	
M000319	Berkes	M	F	EN	TUR	TUR	
M000320	Berna	F	F	EN	TUR	TUR	
M000321	Berrak	M	F	EN	TUR	TUR	
M000322	Berrin	M	F	EN	TUR	TUR	
M000323	Besikci	M	F	EN	TUR	TUR	
M000324	Besim	M	F	EN	TUR	TUR	
M000325	Beste	M	F	EN	TUR	TUR	
M000326	Betil	M	F	EN	TUR	TUR	
M000327	Betül	M	F	EN	TUR	TUR	بتول
M000328	Bihter	M	F	EN	TUR	TUR	
M000329	Bikem	M	F	EN	TUR	TUR	
M000330	Bilge	M	F	EN	TUR	TUR	
M000331	Bilgin	M	F	EN	TUR	TUR	
M000332	Billur	M	F	EN	TUR	TUR	
M000333	Binnaz	F	F	EN	TUR	TUR	
M000334	Binnur	F	F	EN	TUR	TUR	
M000335	Birand	M	F	EN	TUR	TUR	
M000336	Birdal	M	F	EN	TUR	TUR	
M000337	Birgül	M	F	EN	TUR	TUR	
M000338	Birol	M	F	EN	TUR	TUR	
M000339	Birsen	M	F	EN	TUR	TUR	
M000340	Birsu	M	F	EN	TUR	TUR	
M000341	Bora	F	F	EN	TUR	TUR	
M000342	Boratav	M	F	EN	TUR	TUR	
M000343	Bozkurt	M	F	EN	TUR	TUR	
M000344	Buket	M	F	EN	TUR	TUR	
M000345	Bulent	M	F	EN	TUR	TUR	
M000346	Bulut	M	F	EN	TUR	TUR	
M000347	Bumin	M	F	EN	TUR	TUR	
M000348	Burak	M	F	EN	TUR	TUR	
M000349	Burcu	M	F	EN	TUR	TUR	
M000350	Burhan	M	F	EN	TUR	TUR	برهان
M000351	Burhanettin	M	F	EN	TUR	TUR	برهان الدين
M000352	Burhânneddin	M	F	EN	TUR	TUR	برهان الدين
M000353	Burin	M	F	EN	TUR	TUR	
M000354	Burç	M	F	EN	TUR	TUR	
M000355	Burçak	M	F	EN	TUR	TUR	
M000356	Burçin	M	F	EN	TUR	TUR	
M000357	Bâyezîd	M	F	EN	TUR	TUR	بايزيد
M000358	Bülent	M	F	EN	TUR	TUR	
M000359	Bürke	M	F	EN	TUR	TUR	
M000360	Cabbar	M	F	EN	TUR	TUR	جبار
M000361	Cafer	M	F	EN	TUR	TUR	جعفر
M000362	Cagdas	M	F	EN	TUR	TUR	
M000363	Cagman	M	F	EN	TUR	TUR	
M000364	Cagri	M	F	EN	TUR	TUR	
M000365	Cahid	M	F	EN	TUR	TUR	جاهد
M000366	Cahide	F	F	EN	TUR	TUR	جاهدة
M000367	Cahil	M	F	EN	TUR	TUR	جاهل
M000368	Cahit	M	F	EN	TUR	TUR	جاهد
M000369	Cakar	M	F	EN	TUR	TUR	
M000370	Canan	M	F	EN	TUR	TUR	
M000371	Cansu	M	F	EN	TUR	TUR	
M000372	Cebesoy	M	F	EN	TUR	TUR	
M000373	Celal	M	F	EN	TUR	TUR	جلال
M000374	Celalettin	M	F	EN	TUR	TUR	جلال الدين
M000375	Celâl	M	F	EN	TUR	TUR	جلال
M000376	Cemal	M	F	EN	TUR	TUR	جمال
M000377	Cemil	M	F	EN	TUR	TUR	جميل
M000378	Cemile	F	F	EN	TUR	TUR	جميلة
M000379	Cemre	F	F	EN	TUR	TUR	جمرة
M000380	Cenap	M	F	EN	TUR	TUR	جيناب
M000381	Cengiz	M	F	EN	TUR	TUR	
M000382	Cenk	M	F	EN	TUR	TUR	
M000383	Cennet	F	F	EN	TUR	TUR	جنة
M000384	Cerrâh	M	F	EN	TUR	TUR	جراح
M000385	Cetin	M	F	EN	TUR	TUR	
M000386	Cetinok	M	F	EN	TUR	TUR	
M000387	Cevat	M	F	EN	TUR	TUR	جواد
M000388	Cevdet	M	F	EN	TUR	TUR	جودت
M000389	Cihan	M	F	EN	TUR	TUR	جيهان
M000390	Cihangir	M	F	EN	TUR	TUR	
M000391	Ciller	M	F	EN	TUR	TUR	
M000392	Civan	M	F	EN	TUR	TUR	
M000393	Ciçek	M	F	EN	TUR	TUR	
M000394	Corekci	M	F	EN	TUR	TUR	
M000395	Cosar	M	F	EN	TUR	TUR	
M000396	Coskun	M	F	EN	TUR	TUR	
M000397	Cumhur	M	F	EN	TUR	TUR	
M000398	Cömert	M	F	EN	TUR	TUR	
M000399	Damad	M	F	EN	TUR	TUR	
M000400	Damla	F	F	EN	TUR	TUR	
M000401	Danishmend	M	F	EN	TUR	TUR	
M000402	Defne	M	F	EN	TUR	TUR	
M000403	Deha	F	F	EN	TUR	TUR	
M000404	Demet	M	F	EN	TUR	TUR	
M000405	Demir	M	F	EN	TUR	TUR	
M000406	Demirel	M	F	EN	TUR	TUR	
M000407	Deniz	M	F	EN	TUR	TUR	
M000408	Denktash	M	F	EN	TUR	TUR	
M000409	Derbil	M	F	EN	TUR	TUR	
M000410	Deren	M	F	EN	TUR	TUR	
M000411	Derin	M	F	EN	TUR	TUR	
M000412	Deringil	M	F	EN	TUR	TUR	
M000413	Derya	F	F	EN	TUR	TUR	
M000414	Destan	M	F	EN	TUR	TUR	
M000415	Deste	M	F	EN	TUR	TUR	
M000416	Devrim	M	F	EN	TUR	TUR	
M000417	Dicle	M	F	EN	TUR	TUR	
M000418	Dikerdem	M	F	EN	TUR	TUR	
M000419	Dilan	M	F	EN	TUR	TUR	
M000420	Dilar	M	F	EN	TUR	TUR	
M000421	Dilara	F	F	EN	TUR	TUR	
M000422	Dilaver	M	F	EN	TUR	TUR	
