# Kalmasoft Databases
# Database of World Famous People
# References: www.kalmasoft.com/KLEX/dbfamnm.htm
# Created: 27 Dec 2013
# Updated: 13 Jun 2026
# Encoding: UTF8
# Delimiter: TAB
# Total names: 8,000,000+ records
# Copyright ©1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Attributes:
#	ID:7 digits variant identification number, [N#######]
#	ARABIC: unvocalized Arabic name.
#	ENGLISH: name in English.
#	KATS: name in Kalmasoft's KATS, refer www.kalmasoft.com/adevtool.htm# kats
#	CATEGORY: field of specialization, please refer to www.kalmasoft.com/code.htm
#	SUBCAT: activity subcategory, please refer to www.kalmasoft.com/code.htm# subcat
#	COUNTRY: ISO3166 Alpha3 three letter country code
#	GENDER: name gender; M: male, F: female.
# =========================================
ID	ENGLISH	ARABIC	KATS	CATEGORY	SUBCAT	COUNTRY	GENDER
N0000017	Tiger Woods	تايغر وودز	tAygr wwdz	SPT	GOLF	USA	M
N0000018	Nelson Mandela	نيلسون مانديلا	nylswn mAndylA	PLC		ZAF	M
N0000019	Nadia Comăneci	ناديا كومانتشي	nAdyA kwmAnt$y	SPT	GYMN	ROU	F
N0000020	Luis Morinho Okampo	لويس مورينو أوكامبو	lwys mwrynw !wkAmbw	LAW		ARG	M
N0000021	Nuanko Kano	نوانكو كانو	nwAnkw kAnw	SPT	SOCR	NGA	M
N0000022	Usama bin Ladin	أسامة بن لادن	!sAm: bn lAdn	PLC		SAU	M
N0000023	Xavier Solana	خافيير سولانا	KAfyyr swlAnA	PLC			M
N0000024	Ray Charles	ري تشارلز	ry t$Arlz	ART	SING	USA	M
N0000025	Leonid Brezhnev	ليونيد بريجنيف	lywnyd bryjnyf	PLC		RUS	M
N0000026	Leonardo daVinci	ليوناردو دافينشي	lywnArdw dA fyn$y	SCI	PHYS	ITA	M
N0000027	Michael Jackson	مايكل جاكسون	mAykl jAkswn	ART	SING	USA	M
N0000028	Hulk Hogan	هوك هوغان	hwk hwgAn	SPT	WRST	USA	M
N0000029	Roberto Carlos	روبيرتو كارلوس	rwbyrtw kArlws	SPT	SOCR	BRA	M
N0000030	Hu Jintau	هو جنتاو	hw jntAw	PLC		CHN	M
N0000031	Muamar Gadhafi	معمر القذافي	momr AlqcAfy	PLC		LYB	M
N0000032	Diego Maradona	دييغو مارادونا	dyygw mArAdwnA	SPT	SOCR	ARG	M
N0000033	Barbra Streisand	بربارا سترايسند	brbArA strAysnd	ART	SING	USA	F
N0000034	Alberto Fujimori	ألبيرتو فوجيموري	!lbyrtw fwjymwry	PLC		PER	M
N0000035	Umar Albashir	عمر البشير	omr Alb$yr	PLC		SDN	M
N0000036	William Shakespeare	ويليام شكسبير	wylyAm $ksbyr	ART	AUTH	GBR	M
N0000037	Ferdinand Marcos	فيرديناند ماركوس	fyrdynAnd mArkws	PLC		PHL	M
N0000038	Oprah Winfrey	أوبرا وينفري	!wbrA wynfry	ART		USA	F
N0000039	Wolfgang Amadeus Mozart	فولفغانغ أماديوس موزارت	wlfgAng !mAdyws mwzArt	ART		AUT	M
N0000040	James Cameron	جيمس كاميرون	jyms kAmyrwn	ART	DRCT	USA	M
N0000041	Frederick Henry	فريدريك هينري	frdryk hynry	PLC		NLD	M
N0000042	Altayib Salih	الطيب صالح	AlTyb SAlH	ART	AUTH	SDN	M
N0000043	Yakov Smirnoff	ياكوف سميرنوف	yAkwf smyrnwf	ART	ACTS	UKR	M
N0000044	Maria Cary	ماريا كيري	mAryA kyry	ART	SING	USA	F
N0000045	Mark Twain	مارك توين	mArk twyn	ART	AUTH	USA	M
N0000046	Alton John	ألتون جون	!ltwn jwn	ART	SING	GBR	M
N0000047	Alfred Hitchcock	الفريد هيتشكوك	!lfryd hyt$kwk	ART	AUTH	GBR	M
N0000048	Hedeki Yukawa	هيديكي يوكاوا	hydyky ywkAwA	SCI	PHYS	JPN	M
N0000049	John Cena	جون سينا	jwn synA	SPT	WST	USA	M
N0000050	Jose Cortez	خوزيه كورتيز	Kwzyh kwrtyz	SPT	SOCR	SLV	M
N0000051	Butrus Ghali	بطرس غالي	bTrs gAly	PLC		EGY	M
N0000052	Martina Navrátilová	مارتينا نافراتيلوفا	mArtynA nAfrAtylwfA	SPT	TENS		F
N0000053	Kamal Alshennawi	كمال الشناوي	kmAl Al$nAwy	ART	ACTS	EGY	M
N0000054	Najib Mahfudh	نجيب محفوظ	njyb mHfwZ	ART	AUTH	EGY	M
N0000055	Manuel Noriega	مانويل نورييغا	mAnwyl nwryygA	PLC		PAN	M
N0000056	Ayman Alzawahri	أيمن الظواهري	!ymn AlZwAhry	PLC		EGY	M
N0000057	Jamal Abdel Nassir	جمال بعد الناصر	jmAl obd AlnASr	PLC		EGY	M
N0000058	Oliver Kahn	أوليفر كان	!wlyfr kAn	SPT	SOCR	DEU	M
N0000059	Margaret Thatcher	مارغريت ثاتشر	mArgryt xAt$r	PLC		GBR	F
N0000060	Larry King	لاري كينغ	lAry kyng	ART	MDIA	USA	M
N0000061	Julio Iglesias	خوليو إيغلاسياس	Kwlyw EglAsyAs	ART	SING	ESP	M
N0000062	Nastassja Kinski	ناستازيا كينسكي	nAstAzyA kynsky	ART	ACTS	DEU	F
N0000063	Eric Cantona	إيريك كانتونا	Eryk kAntwnA	SPT	SOCR	FRA	M
N0000064	Yanni Christomalis	ياني خريسوماليس	yAny KryswmAlys	ART	CMPS	GRC	M
N0000065	Marie Antoinette	ماري أنطوانيت	mAry !nTwAnyt	PLC		AUT	M
N0000066	Maria Klaas	ماريا كلاس	mAryA klAs	ART	SING	GRC	F
N0000067	Sophie Marceau	صوفي مارسو	Swfy mArsw	ART	ACTS	FRA	F
N0000068	Mike Oldfield	مايك أولدفيلد	mAyk !wldfyld	ART	CMPS	GBR	M
N0000069	Kenny Gorlick	كيني غورليك	kyny gwrlyk	ART	PLAY	USA	M
N0000070	Jacques Cousteau	جاك كوستو	jAk kwstw	SCI	MARN	FRA	M
N0000071	Tommy Lee	تومي لي	twmy ly	ART	ACTS	USA	M
N0000072	Giuseppe Verdi	جوزيبي فيردي	jwzyby fyrdy	ART	CMPS	ITA	M
N0000073	Mustafa Alaqad	مصطفى العقاد	mSTfY AloqAd	ART	DRCT	SYR	M
N0000074	Jacques Chirac	جاك شيراك	jAk $yrAk	PLC		FRA	M
N0000075	Salma Hayek	سلمى حايك	slmY HAyk	ART	ACTS	MEX	F
N0000076	Martin Luther	مارتن لوثر	mArtn lwxr	PLC		DEU	M
N0000077	Amitab Batchan	أميتاب باتشان	!mytAb bAt$An	ART	ACTS	IND	M
N0000078	Bruce Lee	بروس لي	brws ly	ART	ACTS	CHN	M
N0000079	Adnan Khashuqji	عدنان خاشقجي	odnAn KA$qjy	BUS		SAU	M
N0000080	Farah Eided	فرح عيديد	frH oydyd	PLC		SOM	M
N0000081	Abraham Lincoln	أبراهام لينكولن	!brAhAm lynkwln	PLC		USA	M
N0000082	Joseph Koni	جوزف كوني	jwzf kwny	PLC		UGA	M
N0000083	Umar Alsharif	عمر الشريف	omr Al$ryf	ART	ACTS	EGY	M
N0000084	Yuri Andropov	يوري أندروبوف	ywry !ndrwbwf	PLC		RUS	M
N0000085	Shaher Abdulhak	شاهر عبد الحق	$Ahr Obd AlhHq	BUS		YEM	M
N0000086	Michael Jordan	مايكل جوردان	mAykl jwrdAn	SPT	BSKT	USA	M
N0000087	Ibrahim Rugova	إبراهيم روغوفا	EbrAhym rwgwfA	PLC		ALB	M
N0000088	Neil Armstrong	نييل أرمسترونغ	nyyl !rmstrwng	SCI	ASTR	USA	M
N0000089	Sadam Husein	صدام حسين	SdAm Hsyn	PLC		IRQ	M
N0000090	Cheb Khalid	الشاب خالد	Al$Ab KAld	ART	SING	DZA	M
N0000091	Eugene Kaspersky	يوجين كاسبرسكي	ywjyn kAsbrsky	BUS	CMPT	RUS	M
N0000092	Majda Alrumi	ماجدة الرومي	mAjd: Alrwmy	ART	SING	LBN	F
N0000093	Paris Hilton	باريس هيلتون	bArys hyltwn	ART		USA	F
N0000094	Andira Ghandi	أنديرا غاندي	!ndyrA gAndy	PLC		IND	F
N0000095	Robert Murdock	روبرت ميردوخ	rwbrt myrdwK	BUS		USA	M
N0000096	Pervez Musharraf	برفيز مشرف	brfyz m$rf	PLC		PAK	M
N0000097	Kim Dae-jong	كيم داي جونغ	kym dAy jwng	PLC		KOR	M
N0000098	Jackie Chan	جاكي شان	jAky $An	ART	ACTS	CHN	M
N0000099	Irène Joliot-Curie	إيرين جوليو كوري	Eryn jwlyw kwry	SCI	CHEM	FRA	F
N0000100	Haifa Wahbe	هيفاء وهبي	hyfA' whby	ART	SING	LBN	F
