# Kalmasoft Databases
# Database of World Names (KDBWNAN)
# References: www.kalmasoft.com/KLEX/dbnames.htm, www.kalmasoft.com/KLEX/dbvarnam.htm
# Availability: Contact Kalmasoft
# Created: 30 Jun 2019
# Updated: 13 Jun 2026
# Encoding: UTF8
# Delimiter: TAB
# Total unique names: 8,000,000+
# Total with Arabic variants: contact Kalmasoft
# Writing scripts covered: 40+
# Languages covered: 50+
# Countries covered: 200+
# Copyright ©1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Attributes:
#	ID: 8 digits identification number, [N########]
#	Name: Name string in native script
#	Gender: Name gender
#		F: female
#		M: male
#		U: unisex
#	Type: Name type
#		C: common
#		G: given name
#		P: patronym
#		S: surname
#	Country: ISO 3166-3 three-letter country code
#	Origin: Name cultural origin.
#		ABS: Abyssinian
#		AFR: African
#		ARB: Arabic
#		ASN: Asian
#		BBL: Biblical
#		BNT: Bantu
#		HEB: Hebrew
#		HLN: Helinic
#		HND: Hindi
#		HSP: Hispanic
#		NAT: Native
#		SLV: Slavonic
#		WST: Western
#	Ethnicity: Name holder potential ethnic group, please refer to www.kalmasoft.com/code.htm#ethnic
#	Religion: Name holder potential religion.
#		BUDH: Buddhism
#		CRST: Christian
#		ISLM: Islam
#		HIND: Hinduism
#		JUDA: Judaism
#		SHNT: Shinto
#		SHAM: Shamanism
#		SIKH: Sikhism
#		TRAD: Traditional
#		NORG: No religion
#	Language: ISO639-3 three-letter language code.
#	Script: ISO15924 four-letter script code, please refer to www.kalmasoft.com/code.htm#lang
#	Complex: Script complex representation.
#	IPA:: International Phonetic Alphabet.
# =========================================
# Notes:
# (1) Country marker designates locale where the name is common or frequent.
# (2) Unisex marker assigns the gender within the designated locale.
# (3) For complex script like Arabic diacritics can be added on request.
# (4) On expansion, the 'Roman' field can be any other selected language.
# =========================================
ID	﻿Name	Gender	Type	Country	Origin	Ethnicity	Religion	Language	Script	Complex	IPA
N00000029	Արշակուհի	F	G	ARM		Armen	CRST	hye	Armn		/ɑrʃɑkɔhi/
N00000030	Արուսեակ	F	G	ARM		Armen	CRST	hye	Armn		/ɑrɔsjɑk/
N00000031	Արսինէ	F	G	ARM		Armen	CRST	hye	Armn		/ɑrsine/
N00000032	Արտա	F	G	ARM		Armen	CRST	hye	Armn		/ɑrtɑ/
N00000033	Արտեմիս	F	G	ARM		Armen	CRST	hye	Armn		/ɑrtɛmis/
N00000034	Արփա	F	G	ARM		Armen	CRST	hye	Armn		/ɑrpɑ/
N00000035	Արփենիկ	F	G	ARM		Armen	CRST	hye	Armn		/ɑrpɛnik/
N00000036	Արփի	F	G	ARM		Armen	CRST	hye	Armn		/ɑrpi/
N00000037	Արփիկ	F	G	ARM		Armen	CRST	hye	Armn		/ɑrpik/
N00000038	Արփինէ	F	G	ARM		Armen	CRST	hye	Armn		/ɑrpine/
N00000039	Թորոս	M	G	ARM		Armen	CRST	hye	Armn		/tʰɔrɔs/
N00000040	Թուխայր	M	G	ARM		Armen	CRST	hye	Armn		/tʰɔxɑjr/
N00000041	Թուխիկ	M	G	ARM		Armen	CRST	hye	Armn		/tʰɔxik/
N00000042	Ժիրայր	M	G	ARM		Armen	CRST	hye	Armn		/dʒirɑjr/
N00000043	Իմաստուն	M	G	ARM		Armen	CRST	hye	Armn		/imɑstɔn/
N00000044	Իշխան	M	G	ARM		Armen	CRST	hye	Armn		/iʃxɑn/
N00000045	Իսահակ	M	G	ARM	HEB	Armen	CRST	hye	Armn		/isɑhɑk/
N00000046	Լամբրոն	M	G	ARM		Armen	CRST	hye	Armn		/lɑmbrɔn/
N00000047	Լեռնիկ	M	G	ARM		Armen	CRST	hye	Armn		/lɛɾnik/
N00000048	Լեւոն	M	G	ARM		Armen	CRST	hye	Armn		/lɛvɔn/
N00000049	Լիպարիտ	M	G	ARM		Armen	CRST	hye	Armn		/lipɑrit/
N00000050	Լոյս	M	G	ARM		Armen	CRST	hye	Armn		/lɔjs/
N00000051	Լոռիս	M	G	ARM		Armen	CRST	hye	Armn		/lɔɾis/
N00000052	Խադ	M	G	ARM		Armen	CRST	hye	Armn		/xɑd/
N00000053	Խաժակ	M	G	ARM		Armen	CRST	hye	Armn		/xɑdʒɑk/
N00000054	Խաչատուր	M	G	ARM		Armen	CRST	hye	Armn		/xɑtʃɑtɔr/
N00000055	Խաչերես	M	G	ARM		Armen	CRST	hye	Armn		/xɑtʃɛrɛs/
N00000056	Խաչիկ	M	G	ARM		Armen	CRST	hye	Armn		/xɑtʃik/
N00000057	Խոյանք	M	G	ARM		Armen	CRST	hye	Armn		/xɔjɑnkʰ/
N00000058	Խոսրով	M	G	ARM		Armen	CRST	hye	Armn		/xɔsrɔv/
N00000059	Chvašťák	M	S	CZE	SLV	Czech		ces	Latn		
N00000060	Ešef	M	G	CZE	SLV	Czech	CRST	ces	Latn		
N00000061	Ešík	M	S	CZE	SLV	Czech	CRST	ces	Latn		
N00000062	Eška	M	S	CZE	SLV	Czech	CRST	ces	Latn		
N00000063	Ešše	M	S	CZE	SLV	Czech	CRST	ces	Latn		
N00000064	Eštu	M	S	CZE	SLV	Czech	CRST	ces	Latn		
N00000065	Yurik	M	C	CZE	SLV	Czech	CRST	ces	Latn		
N00000066	Yurin	M	S	CZE	SLV	Czech	CRST	ces	Latn		
N00000067	Yuriv	M	S	CZE	SLV	Czech	CRST	ces	Latn		
N00000068	Yuriy	M	G	CZE	SLV		CRST	ces	Latn		
N00000069	Yurka	M	S	CZE	SLV	Czech	CRST	ces	Latn		
N00000070	Werner	M	G	DEU		German	CRST	deu	Latn		
N00000071	Wes	M	G	DEU		German	CRST	deu	Latn		
N00000072	Wesley	M	G	DEU			CRST	deu	Latn		
N00000073	Wilbur	M	G	DEU			CRST	deu	Latn		
N00000074	Wilda	F	G	DEU		German	CRST	deu	Latn		
N00000075	Wilhelmina	F	G	DEU		German	CRST	deu	Latn		
N00000076	Willard	M	G	DEU		German	CRST	deu	Latn		
N00000077	Willis	M	G	DEU			CRST	deu	Latn		
N00000078	Wilma	F	G	DEU		German	CRST	deu	Latn		
N00000079	Wilmer	M	G	DEU		German	CRST	deu	Latn		
N00000080	Wilmet	F	G	DEU		German	CRST	deu	Latn		
N00000081	Wilson	M	G	DEU			CRST	deu	Latn		
N00000082	ሃና	F	G	ETH	HEB		CRST	amh	Ethi		/haːna/
N00000083	ሃያት	F	G	ETH	ARB		ISLM	amh	Ethi		/haːjat/
N00000084	ሂሩት	F	G	ETH	HEB		CRST	amh	Ethi		/hirut/
N00000085	ሂሪቲ	F	G	ETH	BBL		CRST	amh	Ethi		/hiriti/
N00000086	ሄለና	F	G	ETH	HEB		CRST	amh	Ethi		/helɛna/
N00000087	ሄለን	F	G	ETH	HEB		CRST	amh	Ethi		/helɛn/
N00000088	ሰኒያ	F	G	ETH	ABS		CRST	amh	Ethi		/sɛnija/
N00000089	ሰናይት	F	G	ETH	ABS		CRST	amh	Ethi		/sɛnajɨt/
N00000090	ሰዊተ	F	G	ETH	ABS		CRST	amh	Ethi		/sɛwitɛ/
N00000091	ሰዊት	F	G	ETH	ABS		CRST	amh	Ethi		/sɛwit/
N00000092	በለጠ	M	G	ETH	ABS		CRST	amh	Ethi		/bɛlɛtˤɛ/
N00000093	በላቸው	M	G	ETH	ABS		CRST	amh	Ethi		/bɛlaːtʃɛw/
N00000094	በላይ	M	G	ETH	ABS		CRST	amh	Ethi		/bɛlaːj/
N00000095	በላይነህ	M	G	ETH	ABS		CRST	amh	Ethi		/bɛlaːjɨnɛh/
N00000096	በሱፈቃድ	M	G	ETH	ABS		CRST	amh	Ethi		/bɛsufɛkʼad/
N00000097	በረከት	M	G	ETH	HEB		CRST	amh	Ethi		/bɛrɛkɛt/
N00000098	በርሄ	M	G	ETH	ABS		CRST	amh	Ethi		/bɛrɨhe/
N00000099	በእምነት	M	G	ETH	ABS		CRST	amh	Ethi		/bɛʔɨmɨnɛt/
N00000100	በየነ	M	G	ETH	ABS		CRST	amh	Ethi		/bɛjanɛ/
N00000101	ቢኒያም	M	G	ETH	HEB		CRST	amh	Ethi		/binijam/
N00000102	ቤተአብ	M	G	ETH	ABS		CRST	amh	Ethi		/betɛʔɛb/
N00000103	ብስራት	M	G	ETH	HEB		CRST	amh	Ethi		/bɨsɨraːt/
N00000104	ብሩክ	M	G	ETH	ABS		CRST	amh	Ethi		/bɨruk/
N00000105	ብራሃኑ	M	G	ETH	ABS		CRST	amh	Ethi		/bɨraːhaːnu/
N00000106	ቸርነት	M	G	ETH	ABS		CRST	amh	Ethi		/tʃɛrɨnɛt/
N00000107	አለሚቱ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛlɛmitu/
N00000108	አለም	F	G	ETH	ABS		CRST	amh	Ethi		/ɛlɛm/
N00000109	አለምነሽ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛlɛmɨnɛʃ/
N00000110	አለምፀሃይ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛlɛmɨtsˤɛhaːj/
N00000111	አልማዝ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛlɨmaːz/
N00000112	አልጋነሽ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛlɨganɛʃ/
N00000113	አመለወርቅ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛmɛlɛwɛrɨkʼ/
N00000114	አማረች	F	G	ETH	ABS		CRST	amh	Ethi		/ɛmaːrɛtʃ/
N00000115	አምሳለ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛmɨsalɛ/
N00000116	አምሳለወርቅ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛmɨsalɛwɛrɨkʼ/
N00000117	አምሳሉ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛmɨsalu/
N00000118	አርሴማ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛrɨsemaː/
N00000119	አበራሽ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛbɛraːʃ/
N00000120	አበበች	F	G	ETH	ABS		CRST	amh	Ethi		/ɛbɛbɛtʃ/
N00000121	አበባ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛbɛba/
N00000122	አበባወርቅ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛbɛbawɛrɨkʼ/
N00000123	አበባዬ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛbɛbaje/
N00000124	አበዙ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛbɛzu/
N00000125	አቢዮት	F	G	ETH	ABS		CRST	amh	Ethi		/ɛbijot/
N00000126	አባይነሽ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛbajɨnɛʃ/
N00000127	አብነት	F	G	ETH	ABS		CRST	amh	Ethi		/ɛbɨnɛt/
N00000128	አክሊል	F	G	ETH	ABS		CRST	amh	Ethi		/ɛkɨlil/
N00000129	አክሱም	F	G	ETH	ABS		CRST	amh	Ethi		/ɛkɨsum/
N00000130	አዛለች	F	G	ETH	ABS		CRST	amh	Ethi		/ɛzalɛtʃ/
N00000131	አዜብ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛzeb/
N00000132	አየለች	F	G	ETH	ABS		CRST	amh	Ethi		/ɛjalɛtʃ/
N00000133	አያና	F	G	ETH	ABS		CRST	amh	Ethi		/ɛjana/
N00000134	አይናለም	F	G	ETH	ABS		CRST	amh	Ethi		/ɛjɨnalɛm/
N00000135	አይዳ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛjɨda/
N00000136	አደይ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛdɛj/
N00000137	አዲስ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛdis/
N00000138	አዳነች	F	G	ETH	ABS		CRST	amh	Ethi		/ɛdanɛtʃ/
N00000139	አጸደ	F	G	ETH	ABS		CRST	amh	Ethi		/ɛsʼɛdɛ/
N00000140	ካሌብ	M	G	ETH	ABS		CRST	amh	Ethi		/kaleb/
N00000141	ደመቀ	M	G	ETH	ABS		CRST	amh	Ethi		/dɛmɛkʼɛ/
N00000142	ደምረው	M	G	ETH	ABS		CRST	amh	Ethi		/dɛmɨrɛw/
N00000143	ደበበ	M	G	ETH	ABS		CRST	amh	Ethi		/dɛbɛbɛ/
N00000144	ደጀን	M	G	ETH	ABS		CRST	amh	Ethi		/dɛdʒɛn/
N00000145	ዳኛቸው	M	G	ETH	ABS		CRST	amh	Ethi		/daɲatʃɛw/
N00000146	ዳዊት	M	G	ETH	ABS		CRST	amh	Ethi		/dawit/
N00000147	ዳግማዊ	M	G	ETH	ABS		CRST	amh	Ethi		/dagɨmaːwi/
N00000148	ዳግም	M	G	ETH	ABS		CRST	amh	Ethi		/dagɨm/
N00000149	ጨቡዴ	M	G	ETH	ABS		CRST	amh	Ethi		/tʃɛbude/
N00000150	ጫንያለው	M	G	ETH	ABS		CRST	amh	Ethi		/tʃanɨjalɛw/
N00000151	አስቴር	F	G	ETH	HEB		CRST	amh	Ethi		/ɛsɨter/
N00000152	አቢጋኤል	F	G	ETH	HEB		CRST	amh	Ethi		/ɛbigaʔel/
N00000153	አቢጋኤል	F	G	ETH	HEB		CRST	amh	Ethi		/ɛbigaʔel/
N00000154	አቢጋኤል	F	G	ETH	HEB		CRST	amh	Ethi		/ɛbigaʔel/
N00000155	ዳኔል	M	G	ETH	NAT		CRST	amh	Ethi		/danel/
N00000156	Adèle	F	G	FRA				fra	Latn		
N00000157	Adeline	F	G	FRA				fra	Latn		
N00000158	Adrien	F	G	FRA				fra	Latn		
N00000159	Albane	F	G	FRA				fra	Latn		
N00000160	Albine	F	G	FRA				fra	Latn		
N00000161	Alena	F	G	FRA				fra	Latn		
N00000162	Aleth	F	G	FRA				fra	Latn		
N00000163	Alexandra	F	G	FRA				fra	Latn		
N00000164	Alizé	F	G	FRA				fra	Latn		
N00000165	Alizée	F	G	FRA				fra	Latn		
N00000166	Amel	F	G	FRA				fra	Latn		
N00000167	Amelia	F	G	FRA				fra	Latn		
N00000168	Amelie	F	G	FRA				fra	Latn		
N00000169	Ameline	F	G	FRA				fra	Latn		
N00000170	Angeline	F	G	FRA				fra	Latn		
N00000171	Angelique	F	G	FRA				fra	Latn		
N00000172	Bouvet	M	S	FRA				fra	Latn		
N00000173	Bouviais	M	S	FRA				fra	Latn		
N00000174	Bouvier	M	S	FRA				fra	Latn		
N00000175	Brianceau	M	S	FRA				fra	Latn		
N00000176	Brianchon	M	S	FRA				fra	Latn		
N00000177	Briand	M	S	FRA				fra	Latn		
N00000178	Briard	M	S	FRA				fra	Latn		
N00000179	Briatte	M	S	FRA				fra	Latn		
N00000180	Briault	M	S	FRA				fra	Latn		
N00000181	Bricard	M	S	FRA				fra	Latn		
N00000182	Bricout	M	S	FRA				fra	Latn		
N00000183	Catya	F	G	FRA				fra	Latn		
N00000184	Cecile	F	G	FRA				fra	Latn		
N00000185	Cecilia	F	G	FRA				fra	Latn		
N00000186	Cendra	F	G	FRA				fra	Latn		
N00000187	Cendrine	F	G	FRA				fra	Latn		
N00000188	Dolorès	F	G	FRA				fra	Latn		
N00000189	Dominique	F	G	FRA				fra	Latn		
N00000190	Domitille	F	G	FRA				fra	Latn		
N00000191	Donatienne	F	G	FRA				fra	Latn		
N00000192	Estela	F	G	FRA				fra	Latn		
N00000193	Estelle	F	G	FRA				fra	Latn		
N00000194	Julienne	F	G	FRA				fra	Latn		
N00000195	Julietta	F	G	FRA				fra	Latn		
N00000196	Juliette	F	G	FRA				fra	Latn		
N00000197	Marlot	M	S	FRA			CRST	fra	Latn		
N00000198	Marmin	M	S	FRA			CRST	fra	Latn		
N00000199	Marnet	M	S	FRA			CRST	fra	Latn		
N00000200	Marrey	M	S	FRA			CRST	fra	Latn		
N00000201	Marsac	M	S	FRA			CRST	fra	Latn		
N00000202	Marsal	M	S	FRA			CRST	fra	Latn		
N00000203	Martel	M	S	FRA			CRST	fra	Latn		
N00000204	Marthe	F	G	FRA	HEB		CRST	fra	Latn		
N00000205	Martin	M	C	FRA			CRST	fra	Latn		
N00000206	Maryna	F	G	FRA			CRST	fra	Latn		
N00000207	Natal	M	G	FRA	HEB			fra	Latn		
N00000208	Nathanael	M	G	FRA	HEB			fra	Latn		
N00000209	Nathanaël	M	G	FRA	HEB			fra	Latn		
N00000210	Navaz	M	G	FRA				fra	Latn		
N00000211	Nestor	M	G	FRA				fra	Latn		
N00000212	Nico	M	G	FRA				fra	Latn		
N00000213	Philippe	M	G	FRA				fra	Latn		
N00000214	Steeve	M	G	FRA				fra	Latn		
N00000215	Stessy	M	G	FRA				fra	Latn		
N00000216	Stevann	M	G	FRA				fra	Latn		
N00000217	აბაშიძე	M	S	GEO		Georg	CRST	kat	Geor		/äbäʃidze̞/
N00000218	აბელინა	F	G	GEO		Georg	CRST	kat	Geor		/äbe̞linä/
N00000219	აბენიკო	M	G	GEO		Georg		kat	Geor		/äbe̞nikʼo̞/
N00000220	აბესალა	M	G	GEO		Georg		kat	Geor		/äbe̞sälä/
N00000221	აბულაძე	M	S	GEO		Georg	CRST	kat	Geor		/äbulädze̞/
N00000222	ალიევა	M	S	GEO		Georg	CRST	kat	Geor		/älie̞vä/
N00000223	ალიევი	M	S	GEO		Georg	CRST	kat	Geor		/älie̞vi/
N00000224	ბერიძე	M	S	GEO		Georg	CRST	kat	Geor		/be̞ridze̞/
N00000225	ბოლქვაძე	M	S	GEO		Georg	CRST	kat	Geor		/bo̞lkʰvädze̞/
N00000226	გელაშვილი	M	S	GEO		Georg	CRST	kat	Geor		/ge̞läʃvili/
N00000227	გიორგაძე	M	S	GEO		Georg	CRST	kat	Geor		/gio̞rgädze̞/
N00000228	გოგოლაძე	M	S	GEO		Georg	CRST	kat	Geor		/go̞go̞lädze̞/
N00000229	დიასამიძე	M	S	GEO		Georg	CRST	kat	Geor		/diäsämidze̞/
N00000230	დოლიძე	M	S	GEO		Georg	CRST	kat	Geor		/do̞lidze̞/
N00000231	კაპანაძე	M	S	GEO		Georg	CRST	kat	Geor		/kʼäpʼänädze̞/
N00000232	კვარაცხელია	M	S	GEO		Georg	CRST	kat	Geor		/kʼvärätsʰxe̞liä/
N00000233	ლომიძე	M	S	GEO		Georg	CRST	kat	Geor		/lo̞midze̞/
N00000234	მაისურაძე	M	S	GEO		Georg	CRST	kat	Geor		/mäjsurädze̞/
N00000235	მამედოვა	M	S	GEO		Georg	CRST	kat	Geor		/mäme̞do̞vä/
N00000236	მამედოვი	M	S	GEO		Georg	CRST	kat	Geor		/mäme̞do̞vi/
N00000237	მაჭარაშვილი	M	S	GEO		Georg	CRST	kat	Geor		/mätʃʼäräʃvili/
N00000238	მახარაძე	M	S	GEO		Georg	CRST	kat	Geor		/mäxärädze̞/
N00000239	მიქელაძე	M	S	GEO		Georg	CRST	kat	Geor		/mikʰe̞lädze̞/
N00000240	მჭედლიშვილი	M	S	GEO		Georg	CRST	kat	Geor		/mtʃʼe̞dliʃvili/
N00000241	ნოზაძე	M	S	GEO		Georg	CRST	kat	Geor		/no̞zädze̞/
N00000242	ტაბატაძე	M	S	GEO		Georg	CRST	kat	Geor		/tʼäbätʼädze̞/
N00000243	ფუტკარაძე	M	S	GEO		Georg	CRST	kat	Geor		/pʰutʼkʼärädze̞/
N00000244	ქათამაძე	M	S	GEO		Georg	CRST	kat	Geor		/kʰätʰämädze̞/
N00000245	შენგელია	M	S	GEO		Georg	CRST	kat	Geor		/ʃe̞nge̞liä/
N00000246	ცერცვაძე	M	S	GEO		Georg	CRST	kat	Geor		/tsʰe̞rtsʰvädze̞/
N00000247	წიკლაური	M	S	GEO		Georg	CRST	kat	Geor		/tsʼikʼläuri/
N00000248	ხუციშვილი	M	S	GEO		Georg	CRST	kat	Geor		/xutsʰiʃvili/
N00000249	Aoibheann	F	G	IRL	NAT	Irish	CRST	gle	Latn		
N00000250	Beckett	U	G	IRL	NAT	Irish	CRST	gle	Latn		
N00000251	Beglan	F	G	IRL	NAT	Irish	CRST	gle	Latn		
N00000252	Begley	M		IRL	NAT	Irish	CRST	gle	Latn		
N00000253	आकँड़ा	M	G	IND	HND			hin	Deva		/aːkɖa/
N00000254	आकालपति	M	G	IND	HND			hin	Deva		/aːkalpt̪i/
N00000255	आक्चीन्द्रा	M	G	IND	HND			hin	Deva		/aːktʃiːnd̪ra/
N00000256	आठराव	M	G	IND	HND			hin	Deva		/aːʈʰraʋ/
N00000257	आतिश	M	G	IND	HND			hin	Deva		/aːt̪iʃ/
N00000258	आत्मज	M	G	IND	HND			hin	Deva		/aːt̪mdʒ/
N00000259	आत्मान	M	G	IND	HND			hin	Deva		/aːt̪man/
N00000260	आदम	M	G	IND	HND			hin	Deva		/aːd̪m/
N00000261	आदर्श	M	G	IND	HND			hin	Deva		/aːd̪arʃ/
N00000262	आदीप	M	G	IND	HND			hin	Deva		/aːd̪iːp/
N00000263	आदेल	M	G	IND	HND			hin	Deva		/aːd̪el/
N00000264	आदेश	M	G	IND	HND			hin	Deva		/aːd̪eʃ/
N00000265	आदेश्वर	M	G	IND	HND			hin	Deva		/aːd̪eʃʋr/
N00000266	आधारष	M	G	IND	HND			hin	Deva		/aːd̪ʱarʃ/
N00000267	आधार्व	M	G	IND	HND			hin	Deva		/aːd̪ʱarʋ/
N00000268	आधी	M	G	IND	HND			hin	Deva		/aːd̪ʱiː/
N00000269	आबज़योनि	M	G	IND	HND			hin	Deva		/aːbdʒjoni/
N00000270	आबजीत	M	G	IND	HND			hin	Deva		/aːbdʒiːt̪/
N00000271	आबरिक	M	G	IND	HND			hin	Deva		/aːbrik/
N00000272	आबिश	M	G	IND	HND			hin	Deva		/aːbiʃ/
N00000273	आबिषेक	M	G	IND	HND			hin	Deva		/aːbiʃek/
N00000274	आभजीत	M	G	IND	HND			hin	Deva		/aːbʱdʒiːt̪/
N00000275	आभास	M	G	IND	HND			hin	Deva		/aːbʱas/
N00000276	आयुध	M	G	IND	HND			hin	Deva		/aːjud̪ʱ/
N00000277	आयुष	M	G	IND	HND			hin	Deva		/aːjuʃ/
N00000278	आयुष्मान	M	G	IND	HND			hin	Deva		/aːjuʃman/
N00000279	आयुस	M	G	IND	HND			hin	Deva		/aːjus/
N00000280	आसवी	M	G	IND	HND			hin	Deva		/aːsʋiː/
N00000281	जुगनू	M	G	IND	HND			hin	Deva		/dʒugnu/
N00000282	जुगल	M	G	IND	HND			hin	Deva		/dʒugl/
N00000283	जुझार	M	G	IND	HND			hin	Deva		/dʒudʒʱar/
N00000284	जुबिन	M	G	IND	HND			hin	Deva		/dʒubin/
N00000285	जुवास	M	G	IND	HND			hin	Deva		/dʒuʋas/
N00000286	जुसाल	M	G	IND	HND			hin	Deva		/dʒusal/
N00000287	जुहित	M	G	IND	HND			hin	Deva		/dʒuɦit̪/
N00000288	जुहीत	M	G	IND	HND			hin	Deva		/dʒuɦiːt̪/
N00000289	जूषक	M	G	IND	HND			hin	Deva		/dʒuʃk/
N00000290	जूष्ट	M	G	IND	HND			hin	Deva		/dʒuʃʈ/
N00000291	ارتگين	M	G	IRN		Persa	ISLM	fas	Arab		/artagin/
N00000292	ارتگين	M	G	IRN		Persa	ISLM	fas	Arab		/artagin/
N00000293	ارتمن	M	G	IRN		Persa	ISLM	fas	Arab		/artman/
N00000294	ارتنگ	M	G	IRN		Persa	ISLM	fas	Arab		/artang/
N00000295	ارتيان	M	G	IRN		Persa	ISLM	fas	Arab		/artijan/
N00000296	ارجاسب	M	G	IRN		Persa	ISLM	fas	Arab		/ardʒasb/
N00000297	ارجاسپ	M	G	IRN		Persa	ISLM	fas	Arab		/ardʒasp/
