# Kalmasoft Databases
# Database of Arabicized Romanized Names
# References: www.kalmasoft.com/KLEX/dbgivnm.htm
# Created: 8 Nov 2018
# Updated: 17 Apr 2022
# Encoding: UTF8
# Delimiter: TAB
# Total names: contact Kalmasoft
# Countries covered: 220
# Version: 1.05
# Copyright ©1999-2020 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Attributes:
#	ID:6 digits identification number
#		[A######]: Arabic origin name
#		[N######]: Non-Arabic name
#	Name:
#		Name entry
#	Arabic:
#		Arabic transcription
#	Country:
#		Country name
# 
# =========================================



ID	Name	Arabic	Country
US000176	Kaylana	كايلانا	GBR
US000177	Kaylee	كايلي	GBR
US000178	Kayleen	كايلين	GBR
US000179	Kayo	كايو	GBR
US000180	Keladry	كيلادري	GBR
US000181	Kelli	كيلي	GBR
US000182	Kellsie	كيلسي	GBR
US000183	Kenadia	كيناديا	GBR
US000184	Kenisha	كينيشا	GBR
US000185	Kennita	كينيتا	GBR
US000186	Kert	كيرت	GBR
US000187	Kesler	كيسلير	GBR
US000188	Kevlyn	كيفلين	GBR
US000189	Kiana	كيانا	GBR
US000190	King	كينغ	GBR
US000191	Kory	كوري	GBR
US000192	Kreeli	كريلي	GBR
US000193	Krisalyn	كريزالين	GBR
US000194	Krystal	كريستال	GBR
US000195	Kylia	كيليا	GBR
US000196	Lacey	ليسي	GBR
US000197	Laken	ليكن	GBR
US000198	Lalaine	لالين	GBR
US000199	Landis	لانديس	GBR
US000200	Lark	لارك	GBR
US000201	Lavada	لافادا	GBR
US000202	Lavonn	لافون	GBR
US000203	Lawanda	لاواندا	GBR
US000204	Leatrix	ليتريكس	GBR
US000205	Lecea	ليسيا	GBR
US000206	Lefty	ليفتي	GBR
US000207	Leighna	لينا	GBR
US000208	Len	لين	GBR
US000209	Lesa	ليزا	GBR
US000210	Lexine	ليكسيني	GBR
US000211	Liberty	ليبيرتي	GBR
US000212	Lilian	ليليان	GBR
US000213	Linaeve	لينايفي	GBR
US000214	Liz	ليز	GBR
US000215	Lore	لوري	GBR
US000216	Loren	لورين	GBR
US000217	Lorene	لورين	GBR
US000218	Lovie	لوفي	GBR
US000219	Lucky	لوكي	GBR
US000220	Luella	لويلا	GBR
US000221	Lyn	لين	GBR
US000222	Lynelle	لينيل	GBR
US000223	Lynn	لين	GBR
US000224	Mahalia	ماهاليا	GBR
US000225	Makaila	ماكايلا	GBR
US000226	Malloren	مالورين	GBR
US000227	Mandelina	مانديلينا	GBR
US000228	Marge	مارغي	GBR
US000229	Maribeth	ماريبيث	GBR
US000230	Marilee	ماريلي	GBR
US000231	Marilu	ماريلو	GBR
US000232	Marlee	مارلي	GBR
US000233	Marlie	مارلي	GBR
US000234	Marnie	مارني	GBR
US000235	Marv	مارف	GBR
US000236	Mauve	ماوفي	GBR
US000237	Maverick	ميفريك	GBR
US000238	Maylin	مايلين	GBR
US000239	Mayten	مايتين	GBR
US000240	Meadow	ميداو	GBR
US000241	Melora	ميلورا	GBR
US000242	Micheal	مايكل	GBR
US000243	Mikaia	ميكايا	GBR
US000244	Mikel	ميكيل	GBR
US000245	Minor	مينور	GBR
US000246	Miracle	ميراكلي	GBR
US000247	Mircea	ميرسي	GBR
US000248	Misty	ميستي	GBR
US000249	Mitchell	ميتشيل	GBR
US000250	Mo	مو	GBR
US000251	Modesty	موديستي	GBR
US000252	Moon	مون	GBR
US000253	Moral	مورال	GBR
US000254	Mystery	ميستيري	GBR
US000255	Nash	ناش	GBR
US000256	Nature	ناتيري	GBR
US000257	Navid	نافيد	GBR
US000258	Neo	نيو	GBR
US000259	Nerice	نيريس	GBR
US000260	Nevaeh	نيفا	GBR
US000261	Nikki	نيكي	GBR
US000262	Norm	نورم	GBR
US000263	Olencia	أولينشيا	GBR
US000264	Pebbles	بيببليس	GBR
US000265	Pepper	بيبير	GBR
US000266	Pink	بينك	GBR
US000267	Pooky	بوكي	GBR
US000268	Precious	بريشس	GBR
US000269	Qiana	كيانا	GBR
US000270	Queenie	كيني	GBR
US000271	Quiana	كيانا	GBR
US000272	Raeanne	رايني	GBR
US000273	Rain	راين	GBR
US000274	Randilyn	رانديلين	GBR
US000275	Rangle	رانغلي	GBR
US000276	Red	ريد	GBR
US000277	Reegan	ريغان	GBR
US000278	Remedy	ريميدي	GBR
US000279	Ricky	ريكي	GBR
US000280	River	ريفير	GBR
US000281	Rock	روك	GBR
US000282	Rocky	روكي	GBR
US000283	Ronalee	رونيلي	GBR
US000284	Ros	روس	GBR
US000285	Rosie	روزي	GBR
US000286	Rowdy	راودي	GBR
US000287	Roxy	روكسي	GBR
US000288	Rumor	رومور	GBR
US000289	Rusty	روستي	GBR
US000290	Ryo	ريو	GBR
US000291	Sailor	سايلور	GBR
US000292	Sanne	ساني	GBR
US000293	Satchel	ساتشيل	GBR
US000294	Scout	إسكوت	GBR
US000295	Seven	سيفين	GBR
US000296	Shanna	شانا	GBR
US000297	Shepry	شيبري	GBR
US000298	Shirina	شيرينا	GBR
US000299	Skip	إسكيب	GBR
US000300	Sky	إسكي	GBR
US000301	Snow	إسناو	GBR
US000302	Snowy	إسناوي	GBR
US000303	Sonny	سوني	GBR
US000304	Southern	سوثيرن	GBR
US000305	Spike	سبيكي	GBR
US000306	Star	إستار	GBR
US000307	Starbuck	إستاربوك	GBR
US000308	Stash	إستاش	GBR
US000309	Step	إستيب	GBR
US000310	Stevie	إستيفي	GBR
US000311	Stew	إستيو	GBR
US000312	Stone	إستوني	GBR
US000313	Storm	إستورم	GBR
US000314	Stormy	إستورمي	GBR
US000315	Studs	إستودس	GBR
US000316	Sue	سوي	GBR
US000317	Sugar	سوغار	GBR
US000318	Sunny	سوني	GBR
US000319	Symona	سيمونا	GBR
US000320	Tab	تاب	GBR
US000321	Tad	تاد	GBR
US000322	Tailynn	تايلين	GBR
US000323	Tamatha	تاماثا	GBR
US000324	Tamber	تامبير	GBR
US000325	Tangia	تانغيا	GBR
US000326	Taran	تاران	GBR
US000327	Tasmine	تاسميني	GBR
US000328	Tawny	تاوني	GBR
US000329	Tayten	تايتين	GBR
US000330	Teal	تيل	GBR
US000331	Teenie	تيني	GBR
US000332	Tempest	تيمبيست	GBR
US000333	Tender	تيندير	GBR
US000334	Tex	تيكس	GBR
US000335	Tiger	تيغير	GBR
US000336	Tip	تيب	GBR
US000337	Tori	توري	GBR
US000338	Torie	توري	GBR
US000339	Torn	تورن	GBR
US000340	Tory	توري	GBR
US000341	Tracen	تريسن	GBR
US000342	Trapper	ترابير	GBR
US000343	Trinity	ترينيتي	GBR
US000344	Trish	تريش	GBR
US000345	Trixie	تريكسي	GBR
US000346	Tuesday	تويسداي	GBR
US000347	Ty	تي	GBR
US000348	Tyanne	تياني	GBR
US000349	Tynice	تينيس	GBR
US000350	Unity	أنيتي	GBR
US000351	Velvet	فيلفيت	GBR
US000352	Verlee	فيرلي	GBR
US000353	Vi	في	GBR
US000354	Vianca	فيانكا	GBR
US000355	Vicki	فيكي	GBR
US000356	Vicky	فيكي	GBR
US000357	Vinnie	فيني	GBR
US000358	Vinny	فيني	GBR
US000359	Vlora	فلورا	GBR
US000360	Wednesday	ويدنيسداي	GBR
US000361	Welcome	ويلكوم	GBR
US000362	Will	ويل	GBR
US000363	Wind	ويند	GBR
US000364	Winter	وينتير	GBR
US000365	Wood	وود	GBR
US000366	Woods	وودز	GBR
US000367	Woody	وودي	GBR
US000368	Xadrian	زادريان	GBR
US000369	Xandy	زاندي	GBR
US000370	Xannon	زانون	GBR
US000371	Xantara	زانتارا	GBR
US000372	Xaria	زاريا	GBR
US000373	Zabrina	زابرينا	GBR
US000374	Zeal	زيل	GBR
US000375	Zody	زودي	GBR
US000376	Afton	أفتون	GBR
US000377	Aidan	أيدان	GBR
US000378	Aideen	أيدين	GBR
US000379	Aiden	أيدين	GBR
US000380	Aileen	أيلين	GBR
US000381	Ailis	أيليس	GBR
US000382	Aine	أيني	GBR
US000383	Airell	أيريل	GBR
US000384	Aislin	أيسلين	GBR
US000385	Aisling	أيسلينغ	GBR
US000386	Aislinn	أيسلين	GBR
US000387	Alan	ألان	GBR
US000388	Alana	ألانا	GBR
US000389	Allan	ألان	GBR
US000390	Allen	ألن	GBR
US000391	Allene	آلين	GBR
US000392	Amergin	أميرين	GBR
US000393	Angus	أنغوس	GBR
US000394	Aoife	أيف	GBR
US000395	Ardara	أردارا	GBR
US000396	Arlen	أرلين	GBR
US000397	Arlene	أرليني	GBR
US000398	Artan	أرتان	GBR
US000399	Avalbane	أفالبين	GBR
US000400	Baird	بايرد	GBR
US000401	Bairn	بايرن	GBR
US000402	Banagher	باناغير	GBR
US000403	Bary	باري	GBR
US000404	Betha	بيثا	GBR
US000405	Bevan	بيفان	GBR
US000406	Bidelia	بيديليا	GBR
US000407	Blair	بلاير	GBR
US000408	Bonnie	بوني	GBR
US000409	Bowen	باوين	GBR
US000410	Bowie	باوي	GBR
US000411	Boyd	بويد	GBR
US000412	Brady	برادي	GBR
US000413	Braeden	برايدين	GBR
US000414	Branden	براندين	GBR
US000415	Brandon	براندون	GBR
US000416	Brayden	برايدين	GBR
US000417	Brazil	برازيل	GBR
US000418	Breanna	برينا	GBR
US000419	Breckin	بريكين	GBR
US000420	Bree	بري	GBR
US000421	Breena	برينا	GBR
US000422	Brend	بريند	GBR
US000423	Brendan	بريندان	GBR
US000424	Brendon	بريندون	GBR
US000425	Brenna	برينا	GBR
US000426	Brennan	برينان	GBR
US000427	Brian	بريان	GBR
US000428	Briana	بريانا	GBR
US000429	Brianna	بريانا	GBR
US000430	Brianne	برياني	GBR
US000431	Bridget	بريجيت	GBR
US000432	Bridgit	بريجيت	GBR
US000433	Bridie	بريدي	GBR
US000434	Brigid	بريغيد	GBR
US000435	Broderick	بروديريك	GBR
US000436	Brody	برودي	GBR
US000437	Brogan	بروغان	GBR
US000438	Bruis	برويس	GBR
US000439	Bryan	بريان	GBR
US000440	Bryanne	برياني	GBR
US000441	Bryant	بريانت	GBR
US000442	Brynn	برين	GBR
US000443	Buzz	بوزز	GBR
US000444	Cael	كايل	GBR
US000445	Caelan	كايلان	GBR
US000446	Cailean	كايلين	GBR
US000447	Cairbre	كايربرا	GBR
US000448	Caitir	كايتير	GBR
US000449	Caitlin	كايتلين	GBR
US000450	Caitlyn	كايتلين	GBR
US000451	Calder	كالدير	GBR
US000452	Caley	كيلي	GBR
US000453	Calhoun	كالهون	GBR
US000454	Callum	كالوم	GBR
US000455	Calum	كالوم	GBR
US000456	Cam	كام	GBR
US000457	Camden	كامدين	GBR
US000458	Cameron	كيمرون	GBR
US000459	Camryn	كامرين	GBR
US000460	Caolan	كاولان	GBR
US000461	Carey	كيري	GBR
US000462	Cargan	كارغان	GBR
US000463	Carlen	كارلين	GBR
US000464	Carlin	كارلين	GBR
US000465	Carlow	كارلاو	GBR
US000466	Carman	كارمان	GBR
US000467	Cary	كاري	GBR
US000468	Casey	كيسي	GBR
US000469	Cathal	كاثال	GBR
US000470	Catriona	كاترينا	GBR
US000471	Cavan	كافان	GBR
US000472	Ceallach	كيلاك	GBR
US000473	Ceana	كينا	GBR
US000474	Cece	كيس	GBR
US000475	Cecelia	سيسيليا	GBR
US000476	Cecily	سيسيلي	GBR
US000477	Chaela	شايلا	GBR
US000478	Chaeli	شايلي	GBR
US000479	Channon	شانون	GBR
US000480	Chay	كاي	GBR
US000481	Cian	كين	GBR
US000482	Ciara	كيرا	GBR
US000483	Cillian	سيليان	GBR
US000484	Clyde	كلايد	GBR
US000485	Cole	كول	GBR
US000486	Colleen	كولين	GBR
US000487	Collice	كوليس	GBR
US000488	Colm	كولم	GBR
US000489	Colum	كولوم	GBR
US000490	Conan	كونان	GBR
US000491	Conary	كوناري	GBR
US000492	Conlan	كونلان	GBR
US000493	Conner	كونير	GBR
US000494	Connor	كونور	GBR
US000495	Conor	كونور	GBR
US000496	Conroy	كونروي	GBR
US000497	Cormac	كورماك	GBR
US000498	Cornell	كورنيل	GBR
US000499	Cory	كوري	GBR
US000500	Craig	كرايغ	GBR
US000501	Crevan	كريفان	GBR
US000502	Cullen	كولن	GBR
US000503	Cuyler	كويلير	GBR
US000504	Daire	دايري	GBR
US000505	Dallas	دالاس	GBR
US000506	Dallin	دالين	GBR
US000507	Danny	داني	GBR
US000508	Daray	داراي	GBR
US000509	Darby	داربي	GBR
US000510	Darcy	دارسي	GBR
US000511	Darian	داريان	GBR
US000512	Darin	دارين	GBR
US000513	Davan	دافان	GBR
US000514	Davina	دافينا	GBR
US000515	Declan	ديكلان	GBR
US000516	Del	ديل	GBR
US000517	Delaine	ديلايني	GBR
US000518	Delaney	ديلاني	GBR
US000519	Delano	ديلانو	GBR
US000520	Derby	ديربي	GBR
US000521	Dermot	ديرموت	GBR
US000522	Desmond	ديسموند	GBR
US000523	Devan	ديفان	GBR
US000524	Devlin	ديفلين	GBR
US000525	Dillan	ديلان	GBR
US000526	Dillon	ديلون	GBR
US000527	Dolan	دولان	GBR
US000528	Don	دون	GBR
US000529	Donagh	دوناغ	GBR
US000530	Donal	دونال	GBR
US000531	Donald	دونالد	GBR
US000532	Donelle	دونيل	GBR
US000533	Donnan	دونان	GBR
US000534	Donnel	دونيل	GBR
US000535	Donnelly	دونيلي	GBR
US000536	Donny	دوني	GBR
US000537	Donovan	دونوفان	GBR
US000538	Doug	دوغ	GBR
US000539	Dougal	دوغال	GBR
US000540	Douglas	دوغلاس	GBR
US000541	Doyle	دويلي	GBR
US000542	Druce	دروس	GBR
US000543	Duane	دوين	GBR
US000544	Duer	دوير	GBR
US000545	Dugan	دوغان	GBR
US000546	Duncan	دونكان	GBR
US000547	Dympna	ديمبنا	GBR
US000548	Ea	إي	GBR
US000549	Eadoin	إيدوين	GBR
US000550	Eamon	إيمون	GBR
US000551	Eara	إيرا	GBR
US000552	Earl	إيرل	GBR
US000553	Earlene	إيرليني	GBR
US000554	Eavan	إيفان	GBR
US000555	Edalene	إيديلين	GBR
US000556	Edan	إيدان	GBR
US000557	Edana	إيدانا	GBR
US000558	Elvin	إيلفين	GBR
US000559	Ena	إينا	GBR
US000560	Enan	إينان	GBR
US000561	Ennis	إينيس	GBR
US000562	Enya	إينيا	GBR
US000563	Eolande	أيولاندا	GBR
US000564	Erin	إيرين	GBR
US000565	Ewan	إيوان	GBR
US000566	Fallon	فالون	GBR
US000567	Faolan	فاولان	GBR
US000568	Fearghus	فيرغوس	GBR
US000569	Fenella	فينيلا	GBR
US000570	Fennella	فينيلا	GBR
US000571	Feoras	فيوراس	GBR
US000572	Fergal	فيرغال	GBR
US000573	Fergus	فيرغوس	GBR
US000574	Ferguson	فيرغوزون	GBR
US000575	Fews	فيوس	GBR
US000576	Fiachra	فياكرا	GBR
US000577	Findlay	فيندلاي	GBR
US000578	Fineen	فينين	GBR
US000579	Finlay	فينلاي	GBR
US000580	Finn	فين	GBR
US000581	Finna	فينا	GBR
US000582	Finnea	فيني	GBR
US000583	Finola	فينولا	GBR
US000584	Fiona	فيونا	GBR
US000585	Fionan	فيونان	GBR
US000586	Fionn	فيون	GBR
US000587	Fionnuala	فيونوالا	GBR
US000588	Fionnula	فيونولا	GBR
US000589	Fitzwilliam	فيتزويليام	GBR
US000590	Flan	فلان	GBR
US000591	Flann	فلان	GBR
US000592	Flannery	فلانيري	GBR
US000593	Flynn	فلين	GBR
US000594	Forbes	فوربيس	GBR
US000595	Foy	فوي	GBR
US000596	Fynn	فين	GBR
US000597	Gael	غايل	GBR
US000598	Gale	غيل	GBR
US000599	Gallagher	غالاغير	GBR
US000600	Gallia	غاليا	GBR
US000601	Galvin	غالفين	GBR
US000602	Gannon	غانون	GBR
US000603	Genevieve	جينيفيف	GBR
US000604	Genna	غينا	GBR
US000605	Gillespie	غيلسبي	GBR
US000606	Gillian	غيليان	GBR
US000607	Gilmore	غيلمور	GBR
US000608	Glen	غلين	GBR
US000609	Glenda	غليندا	GBR
US000610	Glenn	غلين	GBR
US000611	Glenna	غلينا	GBR
US000612	Glenys	غلينيس	GBR
US000613	Glynis	غلينيس	GBR
US000614	Glynn	غلين	GBR
US000615	Glynnis	غلينيس	GBR
US000616	Grady	غرادي	GBR
US000617	Grant	غرانت	GBR
US000618	Greer	غرير	GBR
US000619	Guinivere	جينيفر	GBR
US000620	Guthrie	غوثري	GBR
US000621	Hal	هال	GBR
US000622	Hamish	هاميش	GBR
US000623	Hazel	هيزل	GBR
US000624	Heremon	هيريمون	GBR
US000625	Herne	هيرني	GBR
US000626	Hogan	هوغان	GBR
US000627	Houston	هوستون	GBR
US000628	Iain	إيان	GBR
US000629	Ian	إيان	GBR
US000630	Ianna	إيانا	GBR
US000631	Ide	إدي	GBR
US000632	Ion	إون	GBR
US000633	Isla	إسلا	GBR
US000634	Isleen	إسلين	GBR
US000635	Jamie	جامي	GBR
US000636	Jean	جين	GBR
US000637	Jeanine	جينيني	GBR
US000638	Jeanne	جيني	GBR
US000639	Kael	كايل	GBR
US000640	Kaelin	كايلين	GBR
US000641	Kail	كايل	GBR
US000642	Kaitlyn	كايتلين	GBR
US000643	Kaley	كيلي	GBR
US000644	Kane	كين	GBR
US000645	Kara	كارا	GBR
US000646	Karman	كارمان	GBR
US000647	Kate	كيت	GBR
US000648	Katelin	كيتلين	GBR
US000649	Katelyn	كيتلين	GBR
US000650	Katelynn	كيتلين	GBR
US000651	Katen	كيتن	GBR
US000652	Kathie	كاثي	GBR
US000653	Kathleen	كاثلين	GBR
US000654	Kathryn	كاثرين	GBR
US000655	Kathy	كاثي	GBR
US000656	Katie	كاتي	GBR
US000657	Katy	كاتي	GBR
US000658	Keagan	كيغان	GBR
US000659	Keefe	كيفي	GBR
US000660	Keefer	كيفير	GBR
US000661	Keegan	كيغان	GBR
US000662	Keelan	كيلان	GBR
US000663	Keelia	كيليا	GBR
US000664	Keelin	كيلين	GBR
US000665	Keelty	كيلتي	GBR
US000666	Keely	كيلي	GBR
US000667	Keen	كين	GBR
US000668	Keena	كينا	GBR
US000669	Keenan	كينان	GBR
US000670	Keene	كيني	GBR
US000671	Keeran	كيران	GBR
US000672	Kelby	كيلبي	GBR
US000673	Kella	كيلا	GBR
US000674	Kellan	كيلان	GBR
US000675	Kellen	كيلن	GBR
US000676	Kelley	كيلي	GBR
US000677	Kelly	كيلي	GBR
US000678	Kellyn	كيلين	GBR
US000679	Kelsea	كيلسي	GBR
US000680	Kelton	كيلتون	GBR
US000681	Kelvin	كيلفين	GBR
US000682	Ken	كين	GBR
US000683	Kenadie	كينادي	GBR
US000684	Kenna	كينا	GBR
US000685	Kennan	كينان	GBR
US000686	Kennedi	كينيدي	GBR
US000687	Kennedy	كينيدي	GBR
US000688	Kenneth	كينيث	GBR
US000689	Kenny	كيني	GBR
US000690	Kenzie	كينزي	GBR
US000691	Kera	كيرا	GBR
US000692	Kermit	كيرميت	GBR
US000693	Kern	كيرن	GBR
US000694	Kevin	كيفين	GBR
US000695	Kevina	كيفينا	GBR
US000696	Kiara	كيارا	GBR
US000697	Killian	كيليان	GBR
US000698	Kiora	كيورا	GBR
US000699	Kira	كيرا	GBR
US000700	Kristen	كريستين	GBR
US000701	Kyla	كيلا	GBR
US000702	Kylar	كيلار	GBR
US000703	Kyle	كيلي	GBR
US000704	Kylee	كيلي	GBR
US000705	Kyleigh	كيلي	GBR
US000706	Kylemore	كيليمور	GBR
US000707	Kylene	كيليني	GBR
US000708	Kyler	كيلير	GBR
US000709	Kylie	كيلي	GBR
US000710	Kyrene	كيريني	GBR
US000711	Lachlan	لاشلان	GBR
US000712	Laird	لايرد	GBR
US000713	Lakyle	لاكيلي	GBR
US000714	Lana	لانا	GBR
US000715	Leslie	ليسلي	GBR
US000716	Liam	ليام	GBR
US000717	Logan	لوغان	GBR
US000718	Loman	لومان	GBR
US000719	Mab	ماب	GBR
US000720	Mac	ماك	GBR
US000721	Macayle	ماكايل	GBR
US000722	Mackenzie	ماكينزي	GBR
US000723	Mae	ماي	GBR
US000724	Maegan	مايغان	GBR
US000725	Maeron	مايرون	GBR
US000726	Maeryn	مايرين	GBR
US000727	Maeve	ميف	GBR
US000728	Magee	ماغي	GBR
US000729	Mahon	ماهون	GBR
US000730	Maili	مايلي	GBR
US000731	Maille	مايل	GBR
US000732	Maire	مايري	GBR
US000733	Mairead	موريد	GBR
US000734	Mairi	مايري	GBR
US000735	Maisie	مايزي	GBR
US000736	Makayla	ماكايلا	GBR
US000737	Makenna	ميكنا	GBR
US000738	Malcolm	مالكولم	GBR
US000739	Malise	ماليزي	GBR
US000740	Mallow	مالاو	GBR
US000741	Marjean	مارجين	GBR
US000742	Marvene	مارفيني	GBR
US000743	Maura	ماورا	GBR
US000744	Maureen	ماورين	GBR
US000745	Mave	ميف	GBR
US000746	Mckale	مكيل	GBR
US000747	Mckayla	مكايلا	GBR
US000748	Mckenna	مكينا	GBR
US000749	Mckile	مكيلي	GBR
US000750	Meagan	ميغان	GBR
