# Kalmasoft Databases
# Database of Arabic words of Ethiopic origin
# References: www.kalmasoft.com/KLEX/dbamara.htm, www.kalmasoft.com/KLEX/dbtirara.htm, www.kalmasoft.com/KLEX/dbtigara.htm
# Primary resources: Lexical Data Repository of the Ge'ez Frontier Foundation https://github.com/geezorg/data/tree/master; HornMorpho is part of the L3 Project http://www.cs.indiana.edu/~gasser/Research/projects.html; Carl W. Isenberg, Grammar of the Amharic Language
# Secondary resources: https://github.com/admasethiopia/dictionaries/blob/master/Amharic%20Tigrinya%20English%20Dictionary.txt, https://github.com/fgaim/Tigrinya-BiLexicon/blob/master/Tigrinya-English.dic
# Related works: www.kalmasoft.com/KLEX/dcamhara.htm, www.kalmasoft.com/KLEX/dbsyriac.htm
# Availability: https://github.com/Kalmasoft/Databases/blob/main/Ethiopic
# Terminology: www.kalmasoft.com/adevtool.htm
# Tools: Amharic Verb Conjugation generator www.kalmasoft.com/KMAPS/eamrconj.htm
# Created: 3 Jan 2021 8:38 AM
# Updated: 11 Sep 2026 2:12 PM
# Encoding: UTF8
# Delimiter: TAB
# Total entries: 4,000+
# Copyright ©1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Licensed under Creative Commons Attribution-ShareAlike 4.0 International license.
# This is a work in progress, not completed, any citations for academic purposes should include the date when the file was downloaded.
# =========================================
# Attributes:
#	ID: 6 digits identification number
#		A######: HornMorpho original entry (A: Amharic, G: Ge'ez, R: Tigrinya, T: Tigre)
#		K######: Kalmasoft added entry
#	Ethiopic: Ethiopic entry
#	ETIPA: Reading for Ethiopic entry (International Phonetic Alphabet)
#	ARIPA: Reading for Arabic (International Phonetic Alphabet)
#	Arabic: Arabic parallel word
#	ETClass/ARClass: Ethiopic/Arabic grammatical class
#		A: Adjective
#		D: Adverb
#		I: Infinitive (Amharic infinitive, Arabic Mimatic infinitive)
#		G: Gerund (Amharic gerund)
#		M: Masdar (Arabic infinitive)
#		N: Noun
#		NT: Arabic Temporal noun
#		NL: Arabic Locative noun
#		Ncol: Regional colloquial Arabic Noun, region codes appear in "Locale", apply only to MSA otherwise
#		R: Particle
#		P: Participle (Amharic and Arabic active participle)
#		Vcol: Regional colloquial Arabic Verb, region codes appear in "Locale", apply only to MSA otherwise
#		VI: Verb imperfective (Amharic contingent, Arabic imperfective)
#		VC: Verb compound imperfective (Amharic compound imperfective, Arabic emphatic imperfective)
#		VJ: Verb jussive
#		VM: Verb imperative
#		VP: Verb perfective, past
#	ETSubclass/ARSubclass: Ethiopic/Arabic entry grammatical subclass
#		CON: Conjunction
#		PRP: Preposition
#		SNG: Singular
#		PLR: Plural
#		ACC: Accusative case
#		NOM: Nominative case
#		DAT: Dative case
#		GEN: Genitive case
#		IND: Indicative mood
#		SUB: Subjunctive mood
#	ETDomain/ARDomain: Ethiopic/Arabic entry semantic domain
#		ANAT: Anatomy
#		ANIM: Animate
#		DMST: Domestic
#		DATE: Date
#		LANG: Language specific
#		NAME: Named entity
#		NUMB: Number
#		PLNT: Plant
#		RLGN: Religion
#	Category: Arabic entry usage category
#		ARC: Ethiopic archaic entry
#		FFM: full form morphology
#		NUS: not used in Arabic
#		SSH: semantically shifted in Arabic
#	RootET: Ethiopic theoretical root
#	RootAR: Arabic root
#	Language: Ethiopic language, ISO 639-3 three-letter code
#	Recipient: Recipient Arabic varieties, ISO 639-3 three-letter code
#	Locale: Locales of the recipient Arabic varieties, ISO3166-3 Alpha-3 country codes
#	Gloss: Arabic semantic adaptation in English
# =========================================
ID	Ethiopic	ETIPA	ARIPA	Arabic	ETClass	ARClass	ETSubclass	ARSubclass	ETDomain	ARDomain	Category	RootAM	RootAR	Language	Recipient	Locale	Gloss
A00063	ይበጠብጣል	/jɨbɛtˤɛbɨtˤal/	/jabatbitanːa/	يَبَتْبِتَنَّ	VC	VC							بتبت	amh	arb		shake, disturb
A00064	ይበጥብጥ	/jɨbɛtˤɨbɨtˤ/	/jabatbit/	يَبَتْبِت	VI	VI							بتبت	amh	arb		shake, disturb
A00065	እልባት	/ʔɨlɨbat/	/bat/	بَت	N	N							بتت	amh	arb		winding up, conclusion, ending, closing stage, book-mark
A00066	ባሕር	/bahɨr/	/baħr/	بَحْر	N	N	SNG	SNG					بحر	amh	arb		ocean, the deep
A00067	ባሕር	/bahɨr/	/baħr/	بَحْر	N	N	SNG	SNG					بحر	amh	arb		sea
A00068	ብድር	/bɨdɨr/	/badr/	بَدْر	N	N	SNG	SNG					بدر	amh	arb		advance, credit
A00069	መብደን	/mɛbɨdɛn/	/mabdan/	مَبْدَن	I								بدن	amh	arb		be paralyzed
A00070	በደነ	/bɛdɛnɛ/	/badana/	بَدَنَ	VP	VP							بدن	amh	arb		be paralyzed
A00071	በደ፟ነ	/bɛdːɛnɛ/	/badːana/	بَدَّنَ	VP	VP							بدن	amh	arb		be paralysed
A00072	በድን	/bɛdɨn/	/badːaːn/	بَدَّان	P	P							بدن	amh	arb		be paralyzed
A00073	በድን	/bɛdɨn/	/badan/	بَدَن	N	N	SNG	SNG	ANAT	ANAT			بدن	amh	arb		corpse, carcass
A00074	በድኖ	/bɛdɨno/	/badnun/	بَدْنٌ	G	M							بدن	amh	arb		be paralysed
A00075	በድኖ	/bɛdɨno/	/badnun/	بَدْنٌ	G	M							بدن	amh	arb		be paralyzed
A00076	ቡድን	/budɨn/	/badan/	بَدَن	N	N							بدن	amh	arb		band, squad, crew, party
A00077	ይበድናል	/jɨbɛdɨnal/	/jabdinanːa/	يَبْدِنَنَّ	VC	VC							بدن	amh	arb		be paralyzed
A00078	ይበድን	/jɨbɛdɨn/	/jabadːin/	يَبَدِّن	VI	VI							بدن	amh	arb		be paralysed
A00079	ይበድን	/jɨbɛdɨn/	/jabdin/	يَبْدِن	VI	VI							بدن	amh	arb		be paralyzed
A00080	በዛ	/bɛza/	/baðaχa/	بَذَخَ	VP	VP						በዛህ	بذخ	amh	arb		increase, be much
A00081	በዝቶ	/bɛzɨto/	/baðχun/	بَذْخٌ	G	M						በዛህ	بذخ	amh	arb		increase, be much
A00082	በዢ	/bɛʒi/	/baːðiχ/	بَاذِخ	P	P						በዛህ	بذخ	amh	arb		increase, be much
A00083	ይብዛ	/jɨbɨza/	/jabðaχ/	يَبْذَخ	VI	VI						በዛህ	بذخ	amh	arb		increase, be much
A00084	በረበረ	/bɛrɛbɛrɛ/	/barbara/	بَرْبَرَ	VP	VP							بربر	amh	arb		search
A00085	በርባሪ	/bɛrɨbar/	/barbaːr/	بَرْبار	N	N							بربر	amh	arb		a person who rummage around for concealed items, person
A00086	በርባሪ	/bɛrɨbar/	/barbaːr/	بَرْبَار	P	P							بربر	amh	arb		search
A00087	ይበርብር	/jɨbɛrɨbɨr/	/jabarbir/	يَبَرْبِر	VI	VI							بربر	amh	arb		search
A00088	በረሃ	/bɛrɛhaː/	/barħa/	بَرْحَة	N	N							برح	amh	arb		barren or arid region,
A00089	መሞረድ	/mɛmorɛd/	/mabrad/	مَبْرَد	I							ሞረ፟ደ	برد	amh	arb		file, rasp
A00090	መብረድ	/mɛbɨrɛd/	/mabrad/	مَبْرَد	G	G							برد	amh	arb		be cold
A00091	መብረድ	/mɛbɨrɛd/	/mabrad/	مَبْرَد	I								برد	amh	arb		be cold
A00092	ሙረዳ	/murɛda/	/biraːda/	بِرَادة	N	N							برد	amh	arb		the performance of sharpening, honing or whetting
A00093	ሞረደ	/morɛdɛ/	/barada/	بَرَدَ	VP	VP						ሞረ፟ደ	برد	amh	arb		file, rasp
A00094	ሞረደ	/morɛdɛ/	/mibrad/	مِبْرَد	N	N	SNG	SNG	DMST	DMST		ሞረ፟ደ	برد	amh	arb		sharpener, device for honing or whetting (knife, etc.)
A00095	ሞረድ	/morɛd/	/mibrad/	مِبْرَد	N	N	SNG	SNG	DMST	DMST		ሞረ፟ደ	برد	amh	arb		sharpener, device for honing or whetting (knife, etc.)
A00096	ሞራጅ	/moraːdʒ/	/barːaːd/	بَرَّاد	P	P						ሞረ፟ደ	برد	amh	arb		file, rasp
A00097	ሞርዶ	/morɨdo/	/bardun/	بَرْدٌ	G	M						ሞረ፟ደ	برد	amh	arb		file, rasp
A00098	በረደ	/bɛrɛdɛ/	/barada/	بَرَدَ	VP	VP							برد	amh	arb		be cold
A00099	በረ፟ደ	/bɛrːɛdɛ/	/barːada/	بَرَّدَ	VP	VP							برد	amh	arb		be cold
A00100	በረዶ	/bɛrɛdo/	/barad/	بَرَد	N	N							برد	amh	arb		ice
A00101	በራጅ	/bɛraːdʒ/	/barːaːd/	بَرَّاد	P	P							برد	amh	arb		be cold
A00102	በርዶ	/bɛrɨdo/	/bardun/	بَرْدٌ	G	M							برد	amh	arb		be cold
A00103	በርዶ	/bɛrɨdo/	/bardun/	بَرْدٌ	G	M							برد	amh	arb		be cold
A00104	ብርድ	/bɨrɨd/	/bard/	بَرْد	N	N							برد	amh	arb		chilly, wintry weather
A00105	ይሞርዳል	/jɨmorɨdal/	/jabridanːa/	يَبْرِدَنَّ	VC	VC						ሞረ፟ደ	برد	amh	arb		file, rasp
A00106	ይሞርድ	/jɨmorɨd/	/jabrid/	يَبْرِد	VI	VI						ሞረ፟ደ	برد	amh	arb		file, rasp
A00107	ይበርዳል	/jɨbɛrɨdal/	/jabridanːa/	يَبْرِدَنَّ	VC	VC							برد	amh	arb		be cold
A00108	ይበርድ	/jɨbɛrɨd/	/jabarːid/	يَبَرِّد	VI	VI							برد	amh	arb		be cold
A00109	ይብረድ	/jɨbɨrɛd/	/jabrid/	يَبْرِد	VI	VI							برد	amh	arb		be cold
A00110	አብራሪ	/ʔɛbɨraːr/	/ʔbraːr/	أبْرار	N	N							برر	amh	arb		pilot
A00111	በሪ	/bɛr/	/baːriʕ/	بَارِع	P	P						በራህ	برع	amh	arb		shine
A00112	በራ	/bɛraː/	/baraʕa/	بَرَعَ	VP	VP						በራህ	برع	amh	arb		shine
A00113	በራ፟	/bɛrːaː/	/barːaʕa/	بَرَّعَ	VP	VP						በራህ	برع	amh	arb		shine
A00114	በርቶ	/bɛrɨto/	/barʕun/	بَرْعٌ	G	M						በራህ	برع	amh	arb		shine
A00115	ይበራ	/jɨbɛraː/	/jabraʕ/	يَبْرع	VI	VI						በራህ	برع	amh	arb		shine
A00116	ይበራል	/jɨbɛraːl/	/jabraʕanːa/	يَبْرَعَنَّ	VC	VC						በራህ	برع	amh	arb		shine
A00117	መብረቅ	/mɛbɨrɛkʼ/	/mabraq/	مَبْرَق	N	N							برق	amh	arb		flash, beam sparkle
A00118	መብረቅ	/mɛbɨrɛkʼ/	/mabraq/	مَبْرَق	N	N							برق	amh	arb		lightning
A00119	ባረቀ	/barɛkʼɛ/	/barq/	بَرْق	N	N							برق	amh	arb		flared, blazed up
A00120	ብራቅ	/bɨraːkʼ/	/baraːq/	بَرَّاق	N	Ncol							برق	amh	apd	SDN	flash of light
A00121	ብራቅ	/bɨraːkʼ/	/barq/	بَرْق	N	N	SNG	SNG					برق	amh	arb		flash of light
A00122	ይብራ	/jɨbɨraː/	/jabriq/	يَبْرِق	VI	VI							برق	amh	arb		shine
A00123	መበርከት	/mɛbɛrɨkɛt/	/mabrak/	مَبْرَك	I								برك	amh	arb		increase, be abundant
A00124	መባረክ	/mɛbarɛk/	/mabrak/	مَبْرَك	G	G						ባህረከ	برك	amh	arb		kneel
A00125	መባረክ	/mɛbarɛk/	/mabrak/	مَبْرَك	I							ባህረከ	برك	amh	arb		kneel
A00126	መንበርከኪያ	/mɛnɨbɛrɨkɛkija/	/munbarak/	مُنْبَرَك	N	N						ባህረከ	برك	amh	arb		space for kneeling down
A00127	መንበርከክ	/mɛnɨbɛrɨkɛk/	/mabrak/	مَبْرَك	I							*በረከከ	برك	amh	arb		kneel
A00128	በረከተ	/bɛrɛkɛtɛ/	/baːraka/	بَارَكَ	VP	VP							برك	amh	arb		increase, be abundant
A00129	በረከት	/bɛrɛkɛt/	/baraka/	بَرَكَة	N	N			RLGN	RLGN			برك	amh	arb		blessing
A00130	በርካኪ	/bɛrɨkak/	/barːaːk/	بَرَّاك	P	P						*በረከከ	برك	amh	arb		kneel
A00131	በርክቶ	/bɛrɨkɨto/	/barakatun/	بَرَكَةٌ	G	M							برك	amh	arb		increase, be abundant
A00132	ቡራኬ	/buraːke/	/baraka/	بَرَكَة	N	N			RLGN	RLGN			برك	amh	arb		the saying of grace, before meal,
A00133	ባረከ	/barɛkɛ/	/baraka/	بَرَكَ	VP	VP						ባህረከ	برك	amh	arb		kneel
A00134	ባራኪ	/baraːk/	/barːaːk/	بَرَّاك	P	P						ባህረከ	برك	amh	arb		kneel
A00135	ባርኮ	/barɨko/	/barkun/	بَرْكٌ	G	M						ባህረከ	برك	amh	arb		kneel
A00136	ብራቅ	/bɨraːkʼ/	/biraːk/	بِرَاك	N	N							برك	amh	arb		levin, fulminator
A00137	ብርካቴ	/bɨrɨkate/	/barakaːt/	بَرَكات	N	N			RLGN	RLGN			برك	amh	arb		excess, profusion, large quantity
A00138	ተባረ፟ከ	/tɛbarːɛkɛ/	/tabarːaka/	تَبَرَّكَ	VP	VP							برك	amh	arb		be blessed
A00139	ተባረክ	/tɛbarɛk/	/tabarːak/	تَبَرَّك	VM	VM							برك	amh	arb		be blessed
A00140	ተባራኪ	/tɛbaraːk/	/mubarːak/	مُبَرَّك	P	P							برك	amh	arb		be blessed
A00141	ተባርኮ	/tɛbarɨko/	/tabarːukun/	تَبَرُّكٌ	G	M							برك	amh	arb		be blessed
A00142	ተንበረከከ	/tɛnɨbɛrɛkɛkɛ/	/baraka/	بَرَكَ	VP	VP						ባህረከ	برك	amh	arb		kneel
A00143	እንብርክ	/ʔɨnɨbɨrɨk/	/inbiraːk/	إنْبِراك	N	N						ባህረከ	برك	amh	arb		being or going down on one's knees
A00144	ይበረክታል	/jɨbɛrɛkɨtal/	/jabrikanːa/	يَبْرِكَنَّ	VC	VC							برك	amh	arb		increase, be abundant
A00145	ይበርክት	/jɨbɛrɨkɨt/	/jabaːrik/	يَبْارِك	VI	VI				RLGN			برك	amh	arb		increase, be abundant
A00146	ይባ፟ረ፟ክ	/jɨbːarːɛk/	/jabarːik/	يَبَرِّك	VI	VI							برك	amh	arb		be blessed
A00147	ይባርካል	/jɨbarɨkal/	/jabrikanːa/	يَبْرِكَنَّ	VC	VC						ባህረከ	برك	amh	arb		kneel
A00148	ይባርክ	/jɨbarɨk/	/jabrik/	يَبْرِك	VI	VI						ባህረከ	برك	amh	arb		kneel
A00149	ይንበረከካል	/jɨnɨbɛrɛkɛkal/	/jabrikanːa/	يَبْرِكَنَّ	VC	VC						*በረከከ	برك	amh	arb		kneel
A00150	መፈረም	/mɛfɛrɛm/	/mabram/	مَبْرَم	I							ፈረ፟መ	برم	amh	arb		sign
A00151	ይፈርማል	/jɨfɛrɨmaːl/	/jabrimanːa/	يَبْرِمَنَّ	VC	VC						ፈረ፟መ	برم	amh	arb		sign
A00152	ይፈርም	/jɨfɛrɨm/	/jabrim/	يَبْرِم	VI	VI						ፈረ፟መ	برم	amh	arb		sign
A00153	ፈረመ	/fɛrɛmɛ/	/barama/	بَرَمَ	VP	VP						ፈረ፟መ	برم	amh	arb		sign
A00154	ፈራሚ	/fɛraːm/	/barːaːm/	بَرَّام	P	P						ፈረ፟መ	برم	amh	arb		sign
A00155	ፈርሞ	/fɛrɨmo/	/barmun/	بَرْمُ	G	M						ፈረ፟መ	برم	amh	arb		sign
A00156	ብርሀን	/bɨrɨhɛn/	/burhaːn/	بُرْهَان	N	N	SNG	SNG	DMST	DMST			برهن	amh	arb		light
A00157	ብርሃን	/bɨrɨhaːn/	/burhaːn/	بُرْهَان	N	N							برهن	amh	arb		daylight, luminosity radiance
A00158	ብርሃን	/bɨrɨhaːn/	/burhaːn/	بُرْهَان	N	N	SNG	SNG					برهن	amh	arb		glow, beam, unbutton for making the light on
